"","Run","Sex","age","genotype","Name","Repeated","filename","Files"
"1","SRR1794273","female","2m","Q111","female_Q111_2m","female_Q111_2m_1R","SRR1794273_female_Q111_2m_1R","SRR1794273_female_Q111_2m_1R"
"2","SRR1794274","female","2m","Q111","female_Q111_2m","female_Q111_2m_2R","SRR1794274_female_Q111_2m_2R","SRR1794274_female_Q111_2m_2R"
"3","SRR1794275","female","2m","Q111","female_Q111_2m","female_Q111_2m_3R","SRR1794275_female_Q111_2m_3R","SRR1794275_female_Q111_2m_3R"
"4","SRR1794276","female","2m","Q111","female_Q111_2m","female_Q111_2m_4R","SRR1794276_female_Q111_2m_4R","SRR1794276_female_Q111_2m_4R"
"5","SRR1794277","male","2m","Q111","male_Q111_2m","male_Q111_2m_1R","SRR1794277_male_Q111_2m_1R","SRR1794277_male_Q111_2m_1R"
"6","SRR1794278","male","2m","Q111","male_Q111_2m","male_Q111_2m_2R","SRR1794278_male_Q111_2m_2R","SRR1794278_male_Q111_2m_2R"
"7","SRR1794279","male","2m","Q111","male_Q111_2m","male_Q111_2m_3R","SRR1794279_male_Q111_2m_3R","SRR1794279_male_Q111_2m_3R"
"8","SRR1794280","male","2m","Q111","male_Q111_2m","male_Q111_2m_4R","SRR1794280_male_Q111_2m_4R","SRR1794280_male_Q111_2m_4R"
"9","SRR1794281","female","6m","Q111","female_Q111_6m","female_Q111_6m_1R","SRR1794281_female_Q111_6m_1R","SRR1794281_female_Q111_6m_1R"
"10","SRR1794282","female","6m","Q111","female_Q111_6m","female_Q111_6m_2R","SRR1794282_female_Q111_6m_2R","SRR1794282_female_Q111_6m_2R"
"11","SRR1794283","female","6m","Q111","female_Q111_6m","female_Q111_6m_3R","SRR1794283_female_Q111_6m_3R","SRR1794283_female_Q111_6m_3R"
"12","SRR1794284","female","6m","Q111","female_Q111_6m","female_Q111_6m_4R","SRR1794284_female_Q111_6m_4R","SRR1794284_female_Q111_6m_4R"
"13","SRR1794285","male","6m","Q111","male_Q111_6m","male_Q111_6m_1R","SRR1794285_male_Q111_6m_1R","SRR1794285_male_Q111_6m_1R"
"14","SRR1794286","male","6m","Q111","male_Q111_6m","male_Q111_6m_2R","SRR1794286_male_Q111_6m_2R","SRR1794286_male_Q111_6m_2R"
"15","SRR1794287","male","6m","Q111","male_Q111_6m","male_Q111_6m_3R","SRR1794287_male_Q111_6m_3R","SRR1794287_male_Q111_6m_3R"
"16","SRR1794288","male","6m","Q111","male_Q111_6m","male_Q111_6m_4R","SRR1794288_male_Q111_6m_4R","SRR1794288_male_Q111_6m_4R"
"17","SRR1794289","female","10m","Q111","female_Q111_10m","female_Q111_10m_1R","SRR1794289_female_Q111_10m_1R","SRR1794289_female_Q111_10m_1R"
"18","SRR1794290","female","10m","Q111","female_Q111_10m","female_Q111_10m_2R","SRR1794290_female_Q111_10m_2R","SRR1794290_female_Q111_10m_2R"
"19","SRR1794291","female","10m","Q111","female_Q111_10m","female_Q111_10m_3R","SRR1794291_female_Q111_10m_3R","SRR1794291_female_Q111_10m_3R"
"20","SRR1794292","female","10m","Q111","female_Q111_10m","female_Q111_10m_4R","SRR1794292_female_Q111_10m_4R","SRR1794292_female_Q111_10m_4R"
"21","SRR1794293","male","10m","Q111","male_Q111_10m","male_Q111_10m_1R","SRR1794293_male_Q111_10m_1R","SRR1794293_male_Q111_10m_1R"
"22","SRR1794294","male","10m","Q111","male_Q111_10m","male_Q111_10m_2R","SRR1794294_male_Q111_10m_2R","SRR1794294_male_Q111_10m_2R"
"23","SRR1794295","male","10m","Q111","male_Q111_10m","male_Q111_10m_3R","SRR1794295_male_Q111_10m_3R","SRR1794295_male_Q111_10m_3R"
"24","SRR1794296","male","10m","Q111","male_Q111_10m","male_Q111_10m_4R","SRR1794296_male_Q111_10m_4R","SRR1794296_male_Q111_10m_4R"
"25","SRR1794297","female","2m","Q140","female_Q140_2m","female_Q140_2m_1R","SRR1794297_female_Q140_2m_1R","SRR1794297_female_Q140_2m_1R"
"26","SRR1794298","female","2m","Q140","female_Q140_2m","female_Q140_2m_2R","SRR1794298_female_Q140_2m_2R","SRR1794298_female_Q140_2m_2R"
"27","SRR1794299","female","2m","Q140","female_Q140_2m","female_Q140_2m_3R","SRR1794299_female_Q140_2m_3R","SRR1794299_female_Q140_2m_3R"
"28","SRR1794300","female","2m","Q140","female_Q140_2m","female_Q140_2m_4R","SRR1794300_female_Q140_2m_4R","SRR1794300_female_Q140_2m_4R"
"29","SRR1794301","male","2m","Q140","male_Q140_2m","male_Q140_2m_1R","SRR1794301_male_Q140_2m_1R","SRR1794301_male_Q140_2m_1R"
"30","SRR1794302","male","2m","Q140","male_Q140_2m","male_Q140_2m_2R","SRR1794302_male_Q140_2m_2R","SRR1794302_male_Q140_2m_2R"
"31","SRR1794303","male","2m","Q140","male_Q140_2m","male_Q140_2m_3R","SRR1794303_male_Q140_2m_3R","SRR1794303_male_Q140_2m_3R"
"32","SRR1794304","male","2m","Q140","male_Q140_2m","male_Q140_2m_4R","SRR1794304_male_Q140_2m_4R","SRR1794304_male_Q140_2m_4R"
"33","SRR1794305","female","6m","Q140","female_Q140_6m","female_Q140_6m_1R","SRR1794305_female_Q140_6m_1R","SRR1794305_female_Q140_6m_1R"
"34","SRR1794306","female","6m","Q140","female_Q140_6m","female_Q140_6m_2R","SRR1794306_female_Q140_6m_2R","SRR1794306_female_Q140_6m_2R"
"35","SRR1794307","female","6m","Q140","female_Q140_6m","female_Q140_6m_3R","SRR1794307_female_Q140_6m_3R","SRR1794307_female_Q140_6m_3R"
"36","SRR1794308","female","6m","Q140","female_Q140_6m","female_Q140_6m_4R","SRR1794308_female_Q140_6m_4R","SRR1794308_female_Q140_6m_4R"
"37","SRR1794309","male","6m","Q140","male_Q140_6m","male_Q140_6m_1R","SRR1794309_male_Q140_6m_1R","SRR1794309_male_Q140_6m_1R"
"38","SRR1794310","male","6m","Q140","male_Q140_6m","male_Q140_6m_2R","SRR1794310_male_Q140_6m_2R","SRR1794310_male_Q140_6m_2R"
"39","SRR1794311","male","6m","Q140","male_Q140_6m","male_Q140_6m_3R","SRR1794311_male_Q140_6m_3R","SRR1794311_male_Q140_6m_3R"
"40","SRR1794312","male","6m","Q140","male_Q140_6m","male_Q140_6m_4R","SRR1794312_male_Q140_6m_4R","SRR1794312_male_Q140_6m_4R"
"41","SRR1794313","female","10m","Q140","female_Q140_10m","female_Q140_10m_1R","SRR1794313_female_Q140_10m_1R","SRR1794313_female_Q140_10m_1R"
"42","SRR1794314","female","10m","Q140","female_Q140_10m","female_Q140_10m_2R","SRR1794314_female_Q140_10m_2R","SRR1794314_female_Q140_10m_2R"
"43","SRR1794315","female","10m","Q140","female_Q140_10m","female_Q140_10m_3R","SRR1794315_female_Q140_10m_3R","SRR1794315_female_Q140_10m_3R"
"44","SRR1794316","female","10m","Q140","female_Q140_10m","female_Q140_10m_4R","SRR1794316_female_Q140_10m_4R","SRR1794316_female_Q140_10m_4R"
"45","SRR1794317","male","10m","Q140","male_Q140_10m","male_Q140_10m_1R","SRR1794317_male_Q140_10m_1R","SRR1794317_male_Q140_10m_1R"
"46","SRR1794318","male","10m","Q140","male_Q140_10m","male_Q140_10m_2R","SRR1794318_male_Q140_10m_2R","SRR1794318_male_Q140_10m_2R"
"47","SRR1794319","male","10m","Q140","male_Q140_10m","male_Q140_10m_3R","SRR1794319_male_Q140_10m_3R","SRR1794319_male_Q140_10m_3R"
"48","SRR1794320","male","10m","Q140","male_Q140_10m","male_Q140_10m_4R","SRR1794320_male_Q140_10m_4R","SRR1794320_male_Q140_10m_4R"
"49","SRR1794321","female","2m","Q175","female_Q175_2m","female_Q175_2m_1R","SRR1794321_female_Q175_2m_1R","SRR1794321_female_Q175_2m_1R"
"50","SRR1794322","female","2m","Q175","female_Q175_2m","female_Q175_2m_2R","SRR1794322_female_Q175_2m_2R","SRR1794322_female_Q175_2m_2R"
"51","SRR1794323","female","2m","Q175","female_Q175_2m","female_Q175_2m_3R","SRR1794323_female_Q175_2m_3R","SRR1794323_female_Q175_2m_3R"
"52","SRR1794324","female","2m","Q175","female_Q175_2m","female_Q175_2m_4R","SRR1794324_female_Q175_2m_4R","SRR1794324_female_Q175_2m_4R"
"53","SRR1794325","male","2m","Q175","male_Q175_2m","male_Q175_2m_1R","SRR1794325_male_Q175_2m_1R","SRR1794325_male_Q175_2m_1R"
"54","SRR1794326","male","2m","Q175","male_Q175_2m","male_Q175_2m_2R","SRR1794326_male_Q175_2m_2R","SRR1794326_male_Q175_2m_2R"
"55","SRR1794327","male","2m","Q175","male_Q175_2m","male_Q175_2m_3R","SRR1794327_male_Q175_2m_3R","SRR1794327_male_Q175_2m_3R"
"56","SRR1794328","male","2m","Q175","male_Q175_2m","male_Q175_2m_4R","SRR1794328_male_Q175_2m_4R","SRR1794328_male_Q175_2m_4R"
"57","SRR1794329","female","6m","Q175","female_Q175_6m","female_Q175_6m_1R","SRR1794329_female_Q175_6m_1R","SRR1794329_female_Q175_6m_1R"
"58","SRR1794330","female","6m","Q175","female_Q175_6m","female_Q175_6m_2R","SRR1794330_female_Q175_6m_2R","SRR1794330_female_Q175_6m_2R"
"59","SRR1794331","female","6m","Q175","female_Q175_6m","female_Q175_6m_3R","SRR1794331_female_Q175_6m_3R","SRR1794331_female_Q175_6m_3R"
"60","SRR1794332","female","6m","Q175","female_Q175_6m","female_Q175_6m_4R","SRR1794332_female_Q175_6m_4R","SRR1794332_female_Q175_6m_4R"
"61","SRR1794333","male","6m","Q175","male_Q175_6m","male_Q175_6m_1R","SRR1794333_male_Q175_6m_1R","SRR1794333_male_Q175_6m_1R"
"62","SRR1794334","male","6m","Q175","male_Q175_6m","male_Q175_6m_2R","SRR1794334_male_Q175_6m_2R","SRR1794334_male_Q175_6m_2R"
"63","SRR1794335","male","6m","Q175","male_Q175_6m","male_Q175_6m_3R","SRR1794335_male_Q175_6m_3R","SRR1794335_male_Q175_6m_3R"
"64","SRR1794336","male","6m","Q175","male_Q175_6m","male_Q175_6m_4R","SRR1794336_male_Q175_6m_4R","SRR1794336_male_Q175_6m_4R"
"65","SRR1794337","female","10m","Q175","female_Q175_10m","female_Q175_10m_1R","SRR1794337_female_Q175_10m_1R","SRR1794337_female_Q175_10m_1R"
"66","SRR1794338","female","10m","Q175","female_Q175_10m","female_Q175_10m_2R","SRR1794338_female_Q175_10m_2R","SRR1794338_female_Q175_10m_2R"
"67","SRR1794339","female","10m","Q175","female_Q175_10m","female_Q175_10m_3R","SRR1794339_female_Q175_10m_3R","SRR1794339_female_Q175_10m_3R"
"68","SRR1794340","female","10m","Q175","female_Q175_10m","female_Q175_10m_4R","SRR1794340_female_Q175_10m_4R","SRR1794340_female_Q175_10m_4R"
"69","SRR1794341","male","10m","Q175","male_Q175_10m","male_Q175_10m_1R","SRR1794341_male_Q175_10m_1R","SRR1794341_male_Q175_10m_1R"
"70","SRR1794342","male","10m","Q175","male_Q175_10m","male_Q175_10m_2R","SRR1794342_male_Q175_10m_2R","SRR1794342_male_Q175_10m_2R"
"71","SRR1794343","male","10m","Q175","male_Q175_10m","male_Q175_10m_3R","SRR1794343_male_Q175_10m_3R","SRR1794343_male_Q175_10m_3R"
"72","SRR1794344","male","10m","Q175","male_Q175_10m","male_Q175_10m_4R","SRR1794344_male_Q175_10m_4R","SRR1794344_male_Q175_10m_4R"
"73","SRR1794345","female","2m","Q20","female_Q20_2m","female_Q20_2m_1R","SRR1794345_female_Q20_2m_1R","SRR1794345_female_Q20_2m_1R"
"74","SRR1794346","female","2m","Q20","female_Q20_2m","female_Q20_2m_2R","SRR1794346_female_Q20_2m_2R","SRR1794346_female_Q20_2m_2R"
"75","SRR1794347","female","2m","Q20","female_Q20_2m","female_Q20_2m_3R","SRR1794347_female_Q20_2m_3R","SRR1794347_female_Q20_2m_3R"
