"","Anln","Asrgl1","Atraid","Bhlhe41","Car2","Cd209c","Chdh","Cldn14","Fads1","Gdf10","Gm21168","Gm5067","Gm6089","Hey1","Il17rb","Il33","Nrf1","Nudt4","P4ha3","Plpp3","Plxnb3","Rrs1","Slc45a3","Teddm2","Tlcd1","Tmc3","Tmem40","Wnt10b","mmu-miR-135b-5p","mmu-miR-212-3p","mmu-miR-221-3p","Samples"
"female_Q111_6m_1R",1294.24117363613,7256.26913805266,1556.57427614577,1371.68267991204,5018.20960667889,284.597535563965,280.72546025017,16.4563200836306,8448.86833470166,265.237158994988,15.4883012551818,60.0171673638294,82.2816004181532,1462.67644978623,61.9532050207271,1825.68351045455,729.886196650441,5156.63629914708,112.290184100068,9481.74442465659,1331.02588911718,687.293368198691,52.2730167362385,113.258202928517,810.231759411696,320.414232216573,79.3775439328066,100.673958158682,234.99574021806,738.413338874854,6989.09744614059,"HD"
"female_Q111_6m_2R",923.576600300499,6776.93256220497,1503.966267156,1449.46010713827,4745.06404154387,231.14649340854,267.483933420363,11.1031066702792,8265.75822935605,232.155866742202,23.2155866742202,64.5998933543518,83.777986693925,1617.01608052612,81.7592400266015,1734.10338723088,688.392613557312,5338.57556173698,101.946706699836,9014.71324293306,1155.7324670427,731.795666904767,36.3374400118229,124.152920040395,855.948586945162,304.830746765848,71.6655066899841,137.274773377998,206.111075910776,926.415046462119,7639.12735033518,"HD"
"female_Q111_6m_3R",1313.60747299275,7114.18653124777,1535.86643805442,1573.85942353505,5446.29446864816,196.613699862255,326.739675133409,21.8459666513616,8851.41579234953,253.603178083198,7.59859709612579,28.4947391104717,18.0466681032987,1480.77660910751,84.5343926943994,1965.18717398553,666.776895185038,5054.96671819768,121.577553538013,9444.10636584734,1325.00536863693,614.536540149173,47.4912318507862,117.77825498995,894.734808068812,285.897215741733,69.3371985021478,112.079307167855,215.067301370812,857.993361024296,8115.66134061708,"HD"
"female_Q111_6m_4R",1197.36995597632,6894.64806994671,1492.2711617509,1662.81643737957,5228.27860599154,207.852054672446,319.772391803764,21.3181594535843,8587.66523321886,282.465612759991,5.32953986339606,67.5075049363501,55.0719119217593,1534.90748065807,65.7309916485515,1755.1951283451,712.381828407274,5530.28586491731,110.143823843519,9061.99428106111,1177.82830981053,788.771899782617,39.0832923315711,138.568036448298,813.643085811799,236.276267277225,95.9317175411291,152.780142750687,266.881709351163,725.514562815976,6818.9398090942,"HD"
"male_Q111_6m_1R",1319.0658956321,7136.97031972658,1451.63533237904,1125.89328780084,5239.33352514888,274.608118975814,265.138873493889,21.7792646084266,8403.95536520809,216.845721536073,17.9915664156568,41.6646801204683,73.8601147590119,1452.58225692723,73.8601147590119,1775.48352786086,737.654223041927,5289.52052620308,141.091757680677,9236.30204306926,1160.92949608396,704.511863855191,31.2485100903512,112.684021234903,855.072867017792,302.068930873395,73.8601147590119,115.52479487948,219.944230386237,925.678326147295,7788.89459346045,"HD"
"male_Q111_6m_2R",1251.64438303887,6694.93272796804,1439.58600067898,1297.65498652753,5295.11860488096,216.015884175556,260.466806190021,13.2572925306298,8334.15795734356,247.209513659391,9.35808884515044,19.4960184273968,10.9177703193422,1533.16688913048,68.6259848644366,1998.73180917671,689.379211592749,5741.18750649979,145.830217836928,8738.89529989632,1237.60724977115,594.238641667053,35.87267390641,116.196269827285,845.347359011923,318.954861472211,72.5251885499159,82.6631181321622,188.589752008109,856.368919345915,7396.14718329985,"HD"
"male_Q111_6m_3R",1537.52756366245,6863.42530405066,1323.25110613492,1387.15811978348,5597.50254839459,234.952256060888,319.535068242808,11.2777082909226,8242.12514261595,250.929009473028,20.6757985333581,68.6060587697793,77.0643399879712,1469.86131391691,74.2449129152406,1849.54415971131,808.235760849454,5570.24808669153,109.017846812252,9103.93001784729,1430.38933489869,745.268556225136,48.8700692606647,117.476128030444,874.022392546503,258.447481666977,80.8235760849454,105.258610715278,204.492706730584,901.228571805501,7580.83677094092,"HD"
"male_Q111_6m_4R",1319.76242029338,7003.65949539135,1396.92392854136,1475.08753429905,4988.44140335643,221.4635496468,270.566327622788,25.0524377428507,8850.5252057943,257.539059996505,25.0524377428507,57.1195580536996,89.1866783645485,1504.14836208076,81.1698982868363,1718.59722915956,803.682202790651,5309.11260646492,128.268481243396,9444.76902905472,1362.85261321108,662.386453920973,30.0629252914209,147.308333927962,925.938098975762,243.509694860509,57.1195580536996,144.30204139882,204.828288061678,1041.32982811776,8564.11422601937,"HD"
"female_Q111_10m_1R",1702.09715257128,6772.24587048267,1506.70046551432,1372.29465187399,5412.37528541577,228.151045002919,301.56598522663,16.9419092823949,8019.17039366694,199.91452953226,10.165145569437,49.6962672283585,67.7676371295798,1559.78511459916,63.2497946542745,1983.33284665903,679.93529253345,7242.10148791442,98.2630738378907,8015.78201181046,1328.24568773976,748.832390281857,46.3078853718795,121.981746833244,801.917039366694,55.3435703224902,45.1784247530532,90.3568495061064,224.05728401756,1329.91577293756,7859.82767911599,"HD"
"female_Q111_10m_2R",1747.0921106378,6951.59801701447,1691.4395746903,1560.25859709975,5411.21532561026,231.554301353019,299.132380717849,32.795244397638,7818.18750533993,229.566710783466,17.8883151259843,50.6835595236223,62.6091029409452,1617.89872361681,53.664945377953,2289.704336126,632.053801118113,7238.804854315,107.329890755906,8705.64669464571,1189.57295587796,732.427124880581,34.7828349671918,130.187182305775,812.924542947511,69.5656699343835,59.6277170866145,126.212001166667,243.19041115315,1489.20964502511,8766.3510754952,"HD"
