miRNA -10m,miRNA - 2m,miRNA - Age,mRNA -10m,mRNA - 2m,mRNA - Age
mmu.miR.135b.5p,mmu.miR.670.3p,mmu.miR.135b.5p,Ccdc116,Gm6089,Gm6089
mmu.miR.212.3p,mmu.miR.191.5p,mmu.miR.433.5p,Gng11,Gm5067,Gng11
mmu.miR.221.3p,mmu.miR.376b.3p,mmu.miR.212.3p,Serpina3n,Alx3,Gm5067
mmu.miR.330.3p,mmu.miR.151.3p,mmu.miR.3102.3p,Enpp6,Gm21168,Enpp6
mmu.miR.3069.5p,mmu.miR.8114,mmu.miR.488.5p,Gm6089,Chrna3,
mmu.let.7g.3p,mmu.miR.218.1.3p,mmu.miR.212.5p,,Gm11331,
mmu.miR.433.5p,2  mmu.miR.218.1.3p ,mmu.miR.320.3p,,Lilrb4a,
mmu.miR.370.5p,,mmu.miR.181a.5p,,Smpdl3b,
mmu.miR.872.5p,,mmu.miR.92b.5p,,Nat8f6,
mmu.miR.138.1.3p,,mmu.miR.543.3p,,Lbhd2,
mmu.miR.543.3p,,mmu.miR.872.5p,,Apol7e,
,,mmu.miR.221.3p,,Gimap5,
,,mmu.miR.3535,,Chdh,
,,mmu.miR.33.3p,,Pglyrp1,
,,mmu.let.7a.2.3p,,Anln,
,,mmu.miR.6418.3p,,Serpina3n,
,,mmu.miR.497a.5p,,Strc,
,,mmu.miR.496a.3p,,Cd209c,
,,mmu.miR.346.5p,,Gm7361,
,,mmu.miR.223.3p,,Il1r1,
,,mmu.miR.382.5p,,Omp,
,,mmu.miR.130b.5p,,Dmrtb1,
,,mmu.miR.300.3p,,Ube2n.ps1,
,,mmu.miR.378b,,Enpp6,
,,mmu.miR.671.3p,,Gck,
,,mmu.miR.99b.5p,,P4ha3,
,,mmu.miR.181a.2.3p,,Atf3,
,,mmu.miR.8114,,Tmem40,
,,mmu.miR.153.5p,,Derl3,
,,mmu.miR.181a.1.3p,,Kcnh4,
,,mmu.miR.134.5p,,Gpr153,
,,mmu.let.7i.3p,,Trdn,
,,mmu.let.7i.5p,,Hcn4,
,,mmu.miR.6236,,Chrnb4,
,,mmu.miR.467e.5p,,ENSMUSG00000115893,
,,mmu.miR.30d.3p,,Gch1,
,,mmu.miR.1247.5p,,Ptger2,
,,mmu.miR.92b.3p,,Gdf10,
,,mmu.miR.3087.3p,,Gm11847,
,,mmu.miR.410.3p,,Vma21.ps,
,,mmu.miR.1198.5p,,Nphs2,
,,mmu.miR.181b.1.3p,,Gbx1,
,,mmu.miR.409.5p,,Plxnb3,
,,mmu.miR.140.5p,,Slc4a11,
,,mmu.miR.665.3p,,Baiap3,
,,mmu.miR.370.5p,,Poteb,
,,mmu.let.7g.3p,,Slc27a3,
,,mmu.miR.8111,,Stoml3,
,,mmu.miR.1843b.3p,,Abca8a,
,,mmu.miR.181c.5p,,Gm8206,
,,mmu.miR.7047.3p,,Ngfr,
,,mmu.miR.154.5p,,Rps15a.ps4,
,,mmu.miR.221.5p,,Dlk1,
,,mmu.miR.770.5p,,Allc,
,,mmu.miR.667.3p,,Ecel1,
,,mmu.miR.125b.1.3p,,Gm11627,
,,mmu.miR.664.3p,,Dsp,
,,mmu.miR.181b.5p,,Scara5,
,,mmu.miR.301a.5p,,Spint1,
,,mmu.miR.3475.3p,,Sync,
,,mmu.miR.218.5p,,Pkhd1l1,
,,mmu.miR.126a.5p,,Klhl1,
,,mmu.miR.24.1.5p,,Mid1.ps1,
,,mmu.miR.3061.3p,,Irag2,
,,mmu.miR.132.3p,,Sspo,
,,mmu.miR.488.3p,,Trh,
,,mmu.let.7f.5p,,Sfrp5,
,,mmu.miR.330.3p,,Gm17084,
,,mmu.miR.674.5p,,Ada,
,,mmu.miR.8103,,Arl4d,
,,mmu.miR.98.3p,,Car5a,
,,mmu.miR.15a.5p,,Armh1,
,,mmu.miR.124.3p,,Arhgap36,
,,mmu.miR.674.3p,,Vmn2r11,
,,mmu.miR.935,,ENSMUSG00000102049,
,,mmu.miR.708.5p,,Tmc3,
,,mmu.miR.136.5p,,Rpl17.ps5,
,,mmu.miR.484,,Txnip,
,,mmu.miR.431.5p,,Ctla2b,
,,mmu.miR.412.5p,,Mslnl,
,,,,Cd28,
,,,,ENSMUSG00000098369,
,,,,Arrdc2,
,,,,Depp1,
,,,,Amy2a4,
,,,,79,
