Classifier,Age,features,params,Train_accuracy,confusion_matrix,Test_accuracy,precision,recall,f1,Genes
AdaBoost,10,20,"lr=1, ne=100",0.920512821,[[4 5][0 3]],0.583333333,1,0.444444444,0.615384615,miRNA
AdaBoost,10,36,"lr=1, ne=50",0.937179487,[[6 3][0 3]],0.75,1,0.666666667,0.8,miRNA
AdaBoost,10,44,"lr=1, ne=100",0.906410256,[[5 4][0 3]],0.666666667,1,0.555555556,0.714285714,miRNA
AdaBoost,10,47,"lr=1, ne=500",0.921794872,[[6 3][0 3]],0.75,1,0.666666667,0.8,miRNA
AdaBoost,2,6,"lr=0.1, ne=100",0.873076923,[[7 2][3 0]],0.583333333,0.7,0.777777778,0.736842105,miRNA
AdaBoost,2,37,"lr=1, ne=1000",0.807692308,[[6 3][3 0]],0.5,0.666666667,0.666666667,0.666666667,miRNA
AdaBoost,2,38,"lr=1, ne=500",0.792307692,[[7 2][3 0]],0.583333333,0.7,0.777777778,0.736842105,miRNA
AdaBoost,2,52,"lr=1, ne=500",0.825641026,[[6 3][3 0]],0.5,0.666666667,0.666666667,0.666666667,miRNA
AdaBoost,2,100,"lr=0.01, ne=500",0.793589744,[[9 0][3 0]],0.75,0.75,1,0.857142857,miRNA
AdaBoost,AGE,15,"lr=0.1, ne=500",0.8,[[29 11][13  3]],0.571428571,0.69047619,0.725,0.707317073,miRNA
AdaBoost,AGE,18,"lr=1, ne=100",0.8375,[[29 11][11  5]],0.607142857,0.725,0.725,0.725,miRNA
AdaBoost,AGE,41,"lr=1, ne=500",0.7875,[[30 10][12  4]],0.607142857,0.714285714,0.75,0.731707317,miRNA
AdaBoost,AGE,54,"lr=1, ne=500",0.75,[[32 8][13  3]],0.625,0.711111111,0.8,0.752941176,miRNA
Guassian_NB,10,20,no smooth,0.838461538,[[4 5][0 3]],0.583333333,1,0.444444444,0.615384615,miRNA
Guassian_NB,10,36,no smooth,0.903846154,[[6 3][1 2]],0.666666667,0.857142857,0.666666667,0.75,miRNA
Guassian_NB,10,44,no smoother,0.952564103,[[6 3][0 3]] ,0.75,1,0.666666667,0.8,miRNA
Guassian_NB,10,47,no smoother,0.937179487,[[6 3][0 3]] ,0.75,1,0.666666667,0.8,miRNA
Guassian_NB,2,6,no smooth,0.88974359,[[6 3][0 3]] ,0.5,0.666666667,0.666666667,0.666666667,miRNA
Guassian_NB,2,37,no smooth,0.81025641,[[7 2][3 0]],0.583333333,0.7,0.777777778,0.736842105,miRNA
