mRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFE,,,,,,,kbest,,,,,,AdaBoost,,,,,,,,,,Guassian NB,,,,,,,,,,ExtraTrees,,,,,,,,,,,,RandomForest,,,,,,,,,
,Train,,10m (140),2m (185),Age (24),,,Train,,10m,2m,Age,,10m,,5,12,19,24,29,,,,10m,,5,12,19,24,29,,,,10m,,5,12,19,24,29,,,,,,10m,,5,12,19,24,29,,
,,Linear_SVM,1,1,1,,,,AdaBoost,0.937179  (5),"0.953846 (87), 0.953846 (79), 0.953846 (52)",0.9375 (62),,,params,"lr=0.1, ne=10","lr=0.1, ne=100","lr=0.1, ne=50","lr=0.01, ne=100","lr=0.01, ne=100",,,,,params,no smoother,no smoother,no smoother,smoother (0.012328467394420659),no smoother,,,,,params,"ne=500, ms=6","ne=100, ms=13","ne=100, ms=5","ne=1000, ms=14","ne=500, ms=6",,,,,,,params,500,10,500,10,10,,
,,Polynomial_SVM,1,1,1,,,,Naive_Bayes,0.983333  (29),1 (17),0.9875 (92),,,Avg accuracy,0.935897436,0.935897436,0.934615385,0.871794872,0.855128205,,,,,Avg accuracy,0.952564103,0.967948718,0.967948718,0.967948718,0.983333333,,,,,Avg accuracy,0.935897436,0.934615385,0.951282051,0.901282051,0.967948718,,,,,,,Avg accuracy,0.935897436,0.869230769,0.853846154,0.870512821,0.838461538,,
,,Gaussian_Process,1,1,1,,,,Extra_Trees,"1 (12), 1 (19), 1 (24)","1 (26), 1 (25), 1 (36)","1 (21), 1 (23), 0.9875 (4)",,,confusion matrix,[[8 0][0 3]],[[7 1][0 3]],[[7 1][0 3]],[[8 0][1 2]],[[7 1][1 2]],,,,,confusion matrix,[[7 1][2 1]],[[8 0][1 2]],[[7 1][1 2]],[[7 1][0 3]],[[7 1][0 3]],,,,,confusion matrix,[[7 1][2 1]],[[8 0][1 2]],[[7 1][0 3]],[[7 1][0 3]],[[7 1][0 3]],,,,,,,confusion matrix,[[8 0][1 2]],[[8 0][1 2]],[[8 0][0 3]],[[7 1][1 2]],[[8 0][1 2]],,
,,Extra_Trees,1,1,1,,,,Random_Forest,1 (29),1 (17), 0.9875 (92),,,Test accuracy,1,0.909090909,0.909090909,0.909090909,0.818181818,,,,,Test accuracy,0.727272727,0.909090909,0.818181818,0.909090909,0.909090909,,,,,Test accuracy,0.727272727,0.909090909,0.909090909,0.909090909,0.909090909,,,,,,,Test accuracy,0.909090909,0.909090909,1,0.875,0.909090909,,
,,Random_Forest,1,1,0.997435897,,,,,,,,,,precision,1,1,1,0.888888889,0.875,,,,,precision,0.777777778,0.888888889,0.875,1,1,,,,,precision,0.777777778,0.888888889,1,1,1,,,,,,,precision,0.888888889,0.888888889,1,0.875,0.888888889,,
,,Neural_Net,1,1,1,,,,,,,,,,recall,1,0.875,0.875,1,0.875,,,,,recall,0.875,1,0.875,0.875,0.875,,,,,recall,0.875,1,0.875,0.875,0.875,,,,,,,recall,1,1,1,0.875,1,,
,,AdaBoost,1,1,1,,,,,,,,,,f1,1,0.933333333,0.933333333,0.941176471,0.875,,,,,f1,0.823529412,0.941176471,0.875,0.933333333,0.933333333,,,,,f1,0.823529412,0.941176471,0.933333333,0.933333333,0.933333333,,,,,,,f1,0.941176471,0.941176471,1,0.875,0.941176471,,
,,Naive_Bayes,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Test,,,,,,,,,,,,,2m,,17,25,26,36,52,79,87,,2m,,17,25,26,36,52,79,87,,2m,,,17,25,26,36,52,79,87,,,2m,,17,25,26,36,52,79,87
,,Linear_SVM,1,0.727272727,0.8,,,,,,,,,,params,"lr=0.01, ne=50","lr=1, ne=10","lr=1, ne=10","lr=1, ne=100","lr=1, ne=10","lr=1, ne=500","lr=1, ne=500",,,params,no smooth,no smoother,smoother (0.15199110829529336),smoother (0.1873817422860384)),smoother (0.657933224657568),smoother (0.657933224657568),no smoother,,,params,,"ne=100, ms=8","ne=100, ms=11","ne=100, ms=11","ne=100, ms=11","ne=10, ms=2","ne=100, ms=7","ne=10, ms=13",,,,params,50,500,10,50,50,50,100
,,Polynomial_SVM,1,0.727272727,0.690909091,,,,,,,,,,Avg accuracy,0.923076923,0.907692308,0.907692308,0.892307692,0.923076923,0.938461538,0.938461538,,,Avg accuracy,1,0.984615385,0.969230769,0.969230769,0.969230769,0.953846154,0.953846154,,,Avg accuracy,,0.938461538,0.969230769,0.969230769,0.923076923,0.953846154,0.969230769,0.938461538,,,,Avg accuracy,0.923076923,0.907692308,0.953846154,0.938461538,0.938461538,0.923076923,0.923076923
,,Gaussian_Process,1,0.727272727,0.709090909,,,,,,,,,,confusion matrix,[[6 1][2 2]],[[6 1][1 3]],[[6 1][1 3]],[[6 1][1 3]],[[6 1][1 3]],[[6 1][2 2]],[[6 1][0 4]],,,confusion matrix,[[7 0][2 2]],[[6 1][3 1]],[[6 1][2 2]],[[6 1][2 2]],[[6 1][1 3]],[[6 1][2 2]],[[6 1][3 1]],,,confusion matrix,,[[6 1][2 2]],[[6 1][2 2]],[[6 1][2 2]],[[7 0][2 2]],[[7 0][3 1]],[[6 1][3 1]],[[7 0][3 1]],,,,confusion matrix,[[6 1][2 2]] ,[[6 1][1 3]] ,[[6 1][2 2]] ,[[6 1][1 3]] ,[[6 1][1 3]] ,[[7 0][2 2]] ,[[6 1][1 3]] 
,,Extra_Trees,0.909090909,0.690909091,0.72,,,,,,,,,,Test accuracy,0.727272727,0.818181818,0.818181818,0.818181818,0.818181818,0.727272727,0.909090909,,,Test accuracy,0.818181818,0.636363636,0.727272727,0.727272727,0.818181818,0.727272727,0.636363636,,,Test accuracy,,0.727272727,0.727272727,0.727272727,0.818181818,0.727272727,0.636363636,0.727272727,,,,Test accuracy,0.727272727,0.818181818,0.727272727,0.818181818,0.818181818,0.818181818,0.818181818
,,Random_Forest,0.8,0.763636364,0.756363636,,,,,,,,,,precision,0.75,0.857142857,0.857142857,0.857142857,0.857142857,0.75,1,,,precision,0.777777778,0.666666667,0.75,0.75,0.857142857,0.75,0.666666667,,,precision,,0.75,0.75,0.75,0.777777778,0.7,0.666666667,0.7,,,,precision,0.75,0.857142857,0.75,0.857142857,0.857142857,0.777777778,0.857142857
,,Neural_Net,1,0.727272727,0.730909091,,,,,,,,,,recall,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,,,recall,1,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,,,recall,,0.857142857,0.857142857,0.857142857,1,1,0.857142857,1,,,,recall,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,1,0.857142857
,,AdaBoost,0.818181818,0.672727273,0.8,,,,,,,,,,f1,0.8,0.857142857,0.857142857,0.857142857,0.857142857,0.8,0.923076923,,,f1,0.875,0.75,0.8,0.8,0.857142857,0.8,0.75,,,f1,,0.8,0.8,0.8,0.875,0.823529412,0.75,0.823529412,,,,f1,0.8,0.857142857,0.8,0.857142857,0.857142857,0.875,0.857142857
,,Naive_Bayes,0.909090909,0.727272727,0.727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Age,,4,21,23,62,92,,,,Age,,4,21,23,62,92,,,,Age,,4,21,23,62,92,,,,,,Age,,4,21,23,62,92,,
,,,,,,,,,,,,,,,params,"lr=0.1, ne=10","lr=0.01, ne=50","lr=0.1, ne=10","lr=1, ne=50","lr=1, ne=100",,,,,params,no smoother,smoother (0.01873817422860384),no smoother,no smoother,no smoother,,,,,params,"ne=500, ms=7","ne=100, ms=2","ne=100, ms=5","ne=1000, ms=7","ne=500, ms=3",,,,,,,params,"lr=0.1, ne=10",100,10,10,10,,
,,,,,,,,,,,,,,,Avg accuracy,0.9225,0.895,0.895,0.925,0.868333333,,,,,Avg accuracy,0.936666667,0.95,0.975,0.975,0.9625,,,,,Avg accuracy,0.935833333,0.95,0.9625,0.9375,0.95,,,,,,,Avg accuracy,0.9225,0.924166667,0.949166667,0.899166667,0.87,,
,,,,,,,,,,,,,,,confusion matrix,[[36 3][8  8]],[[39 0][12  4]],[[39 0][12  4]],[[39 0][15  1]],[[39 0] [13  3]],,,,,confusion matrix,[[34  5][4  12]],[[39 0][15  1]],[[39 0][16  0]],[[39 0][16  0]],[[39 0][16  0]],,,,,confusion matrix,[[37  2][5  11]],[[39  0][14  2]],[[39  0][14  2]],[[39 0][16  0]],[[39 0][16  0]],,,,,,,confusion matrix,[[36 3][8  8]],[[38  1][13  3]],[[39  0][13  3]],[[39  0][15  1]],[[38 1][14  2]],,
,,,,,,,,,,,,,,,Test accuracy,0.8,0.781818182,0.781818182,0.727272727,0.763636364,,,,,Test accuracy,0.836363636,0.727272727,0.709090909,0.709090909,0.709090909,,,,,Test accuracy,0.872727273,0.745454545,0.745454545,0.709090909,0.709090909,,,,,,,Test accuracy,0.8,0.745454545,0.763636364,0.727272727,0.727272727,,
