"","U2.M2.log2FoldChange","U2.M2.padj","U6.M6.log2FoldChange","U6.M6.padj","U10.M10.log2FoldChange","U10.M10.padj"
"1700029I15Rik",0.000632431148721573,0.973885619322941,0.534263950667618,4.10872971626685e-08,-9.82851964159197e-05,0.998896051182073
"2310022B05Rik",-0.00489128948763335,0.813775769122322,-0.0720094172403526,0.0191071536133887,-0.0828220442016086,0.0376990469383945
"2810039B14Rik",0.000570538876938773,0.975714982789744,0.543429813924348,7.16997133057936e-10,0.00216315883456614,0.949763571088706
"4933427I04Rik",-0.000208107790383026,0.993926716538982,0.595737718245893,1.68956801559677e-10,-0.000580465568438885,0.997993037617109
"6430571L13Rik",-0.0843473161658734,0.0491476471064949,-0.0488065828333036,0.215888611445943,-0.000165446697955405,0.998896051182073
"9030025P20Rik",0.00130938671641209,0.962752932763412,0.279006790949951,4.51931919875278e-07,-0.000597979938893695,0.997993037617109
"Abca8a",0.0019811349065761,0.924531152427105,0.0826021006244523,0.0324503181749328,0.216821659106745,0.00249153530823361
"Abi3",0.00062897374857768,0.978437276479517,0.401407488028541,2.02326812248711e-07,-0.00337573518904966,0.857245757680126
"Ablim3",-0.127952482892324,0.0221393887381842,-0.0712547101109085,0.0402818547032602,-0.00478386989497382,0.749359357367985
"Adamts13",-0.000285140595550907,0.990542262954265,-1.53126382412975,1.09812242425318e-29,-0.000857530704622595,0.993197383843227
"Adamtsl2",-0.0011633143609694,0.973885619322941,-0.0313085075038998,0.438341060562128,-0.105524833188297,0.0376990469383945
"Amd2",-0.000258891270530107,0.990023400448858,0.0117218672836111,0.72815001617782,-0.352593277122756,0.00172373000164151
"Amz1",0.00081749097216886,0.982657037682489,-0.000893279326446895,0.985045996330102,-0.224901219572029,0.000792562860123978
"Ankrd34c",-0.0910257183357986,0.0491476471064949,-0.0350278016478576,0.396943480495023,8.16333473744543e-06,0.99928023585339
"Ankzf1",0.00995806915450728,0.518277770060799,0.138188149283746,3.36674982396082e-08,-0.00231001667385944,0.974573128584816
"Anln",0.00518728436227991,0.644435358834827,0.114553365433223,0.00512548895564017,0.211668182952216,0.00303668740050293
"Ano2",-0.000844940064132424,0.957692122137241,-0.0359854943631026,0.327116238535541,-0.211081119651754,0.0108888778537195
"Anxa5",0.00251651758085005,0.952350155222627,0.021293853006792,0.525013646851697,0.0817747833925459,0.0268918312047444
"Apod",-0.000698152487959301,0.983353658729146,-0.0132891223278878,0.775170124362338,0.182666986606706,0.00703382088057083
"Apold1",-0.000809833558874319,0.94931215096345,-0.0650673612192698,0.0767729910539402,0.0907202986553619,0.0376990469383945
"Asrgl1",0.00598837081150032,0.862510646800217,-0.0778441093691777,0.000203500932101351,-0.0703941536172967,0.00924145524606186
"Atg7",0.000354020448210216,0.995624547603897,0.182119151414591,1.01802118350345e-09,0.00252440037075981,0.954836686047869
"Atp5md",-0.000499157867217277,0.990542262954265,-0.273532035998298,3.57027755674287e-07,-0.000109665541294261,0.998896051182073
"Atraid",-0.0142657501433359,0.292542547942506,-0.127918981127617,0.000763870426385273,-0.0890219634698941,0.0485460382292224
"Aven",0.00150161510638403,0.959827151740756,0.270408525628066,4.03489094460983e-08,-0.00100770589628268,0.993197383843227
"Bace1",0.00181845152418804,0.973885619322941,0.131159818260492,2.65689666167846e-08,-0.00181587694284381,0.990904396582106
"Bcdin3d",0.00016041510966427,0.997828018512605,0.357513914687388,6.41448881770368e-09,0.00196839561262715,0.95982708219018
"Bhlhe41",0.000802917172442521,0.983349714746816,-0.115921801601329,0.00232013545078932,-0.128525384606905,0.018232569550813
"C2cd4c",0.00379593431607346,0.862510646800217,-0.0349888185111862,0.33616054686655,-0.161886118237908,0.000908279557678306
"Cacng5",-0.116274423760809,0.0383021774162718,-0.0620185797937153,0.103276371565765,-0.00248361603253568,0.917536950565912
"Calb2",-0.298116118324147,0.00817932724615442,-0.0557017314038395,0.123473171423326,0.000618266314395215,0.997993037617109
"Calu",0.00173461622651793,0.983353658729146,-0.0836684062902395,4.12214887957244e-08,0.00240444003850528,0.987476425149233
"Car2",0.00211707390024256,0.958292999219919,-0.0935738259861094,0.00234961095856562,-0.090822223354118,0.0274136854978684
"Carhsp1",0.00372330781957337,0.847709272172307,0.033851628705368,0.378591211128282,0.0850441691779902,0.0485460382292224
"Casp3",-0.00828098274826363,0.541692375806072,-0.0832107348024503,0.0080939547826709,-0.0822700382624194,0.041273732767962
"Ccdc116",-0.00139609719039783,0.94931215096345,-0.00427908034626802,0.933069592470139,-0.109013649687054,0.0425648745723284
"Cd209c",0.00668478677897557,0.541692375806072,0.173974519248776,0.000237891721466899,0.162243339910947,0.011818072537335
"Cd22",-0.000468491651182116,0.983349714746816,-0.710652029351643,5.82261344583881e-12,0.0019516446453702,0.9502683909065
"Cd46",-0.000917655859823411,0.957829848313955,0.516382133000388,1.14968483180432e-07,-7.25492205493378e-05,0.998896051182073
"Cd82",0.00338356778085771,0.824772646167306,0.08821252990444,0.0188202100788225,0.0967929941276348,0.0447871285100946
"Cd84",-0.00147529226380987,0.952350155222627,0.286983736326562,1.97792065096275e-07,0.00162421091000688,0.977936954984339
"Cdv3",-0.000530548019503832,0.995580113626721,-0.105699997042952,3.57027755674287e-07,-0.00451140227720012,0.876119931960285
"Cdyl",0.00371981413424956,0.877861216787141,-0.0297753670920855,0.39181938436772,0.0808222610971895,0.0393804308251363
"Cep85",0.000826766539734393,0.973885619322941,0.361155021858791,1.53239342466072e-08,-0.000344626192470119,0.998333059150449
"Ces2f",-0.000235658012636328,0.995580113626721,-0.351381277279355,5.94506928364096e-07,0.00122415399909244,0.992227801911817
"Chdh",0.00434828565981043,0.664715337757882,0.30794568898362,2.03063270184919e-05,0.333910143107685,0.000142203472771322
"Ciz1",0.00584159561355164,0.759610236813297,0.160671090351548,6.81004158327163e-08,-0.00435556740125723,0.817818134862278
"Clcn4",0.00378195002077919,0.952350155222627,-0.0883630783631815,6.29242754968323e-10,0.00590213853666608,0.801916845101127
"Cmah",0.000122263188468527,0.997351994322839,0.569381947655123,2.46436047815822e-08,0.000332016040868946,0.998108325392452
"Csnk2a1",-0.00525526359397519,0.892559816110766,-0.0992256586566946,2.59716807377459e-07,-0.00226205669392874,0.986894709151733
"Cyb5b",-0.00211947599162025,0.97583252094377,-0.077664804075139,2.12686702226474e-07,-0.00531840514977584,0.86123402541918
"D10Wsu102e",0.000550361556942943,0.984116352455259,0.46208632264119,1.01802118350345e-09,9.28626819214919e-05,0.998896051182073
"Dbp",0.000537282269872984,0.983349714746816,-0.0479812957949029,0.220289667303652,-0.121368340745318,0.0393804308251363
"Dcdc2a",-0.00450554163699541,0.757177790914409,-0.0582290061961837,0.110714089467379,0.151602838689548,0.00703382088057083
"Desi1",0.00168724672118976,0.973885619322941,-0.122727307278521,5.94506928364096e-07,-0.00424145768083567,0.863824686901708
"Dlx1",-0.08199841393167,0.0491476471064949,0.0808844713949733,0.0421388030278354,-0.00116452441747912,0.992456600989622
"Dnase2a",8.66887683863966e-05,0.998375802679239,0.467477221744895,8.52547752704963e-10,0.000491075025645627,0.997993037617109
"Drc1",0.197785068904664,2.60572045095961e-05,0.196540371769472,4.10872971626685e-08,0.0837815282729362,0.0420000699667977
"Dynlt1f",-0.000837497545331317,0.966931060276238,0.485918319398076,4.33344459932327e-08,0.00220361975801829,0.94934562932022
"Elk4",0.00241241337081353,0.927160455083381,0.256726227480355,5.25602131462915e-08,0.00414772716296234,0.802127830238096
"Eme2",0.00568109380899204,0.738092687594374,0.198156244931373,6.41448881770368e-09,-0.00433916505826334,0.801916845101127
"Enpp6",0.00134507735656492,0.946132278323068,0.0787037372088761,0.0475914123452986,0.418170092869033,3.45494366269857e-07
"Entpd2",-0.00222568478198486,0.937018384498841,0.0141996604291224,0.742774889528944,-0.100786053914929,0.0376990469383945
"Ermard",0.000315633452880406,0.995580113626721,0.288261967924786,2.33086363575305e-11,0.000572922370985397,0.997993037617109
"Espn",-0.000995459387147185,0.952350155222627,0.535331406953564,5.87262399905929e-10,0.00157368877173355,0.974759405644981
"Etf1",-0.00296575668801395,0.957829848313955,-0.10832897361834,2.45742411009622e-07,-0.00240163456563904,0.977936954984339
"Evpl",-0.00265533219132879,0.787672804258829,0.426674724676484,6.95069360622461e-07,4.63499086975355e-05,0.998896051182073
"Fads1",0.0028400642156733,0.958292999219919,-0.0533502627039912,0.0225367669877345,-0.0875876171389075,0.003297719377187
"Fam13c",0.00438362767526924,0.865575131403512,-0.180681068374566,1.84344569207765e-09,-0.00799541911170928,0.533771461463474
"Fam184b",0.00048253131415451,0.990542262954265,-0.0152900392242167,0.730847598711939,-0.158555876074463,0.00763974294237504
"Fam221b",-0.00101471801067097,0.957262183203312,0.445209858240183,4.10872971626685e-08,0.00125838996522748,0.987152268809073
"Far2",-0.000813455950761684,0.990542262954265,0.151347487710769,3.96486681199772e-09,-0.000641264534699795,0.997993037617109
"Fbxo7",3.44867130598825e-05,0.999274111864182,0.307225416552531,2.18728214946221e-11,0.00198253509260223,0.967499598877853
"Fcgr2b",-0.000910443577671032,0.973885619322941,-0.355385348611197,3.8431429740438e-09,0.00195334143537407,0.961832055665658
"Fchsd1",-0.00105986523674822,0.973885619322941,0.299209958517324,4.02880409086947e-09,0.00089252209829351,0.997953454780368
"Fmo1",0.00130764590973337,0.959827151740756,0.336346604292964,6.93656451584924e-08,0.00440559829389072,0.764994212829774
"Fosb",0.00106543566597386,0.937018384498841,-0.0221343205989268,0.554390193777749,0.242614831182218,0.00777074089515578
"Frzb",-0.0127141269676266,0.313000505795071,-0.0499419803507728,0.174779149314545,-0.0998686892825908,0.0376990469383945
"Fuz",0.00129192545862483,0.960051944677581,0.377527429246316,1.12400031531039e-09,0.00326854911512314,0.880647896900078
"Gad1",-0.153749419884263,0.00193344387896293,-0.105212976041357,0.000760573675872275,0.00107383179827165,0.996294488012434
"Galnt11",0.0162599882802199,0.219450338833476,0.0143544689378487,0.616991175676345,0.0559820254287914,0.0393628392046827
"Gdf10",0.00369437242625764,0.785611294545772,0.101085941266122,0.00803162256459326,0.103569727035722,0.0420000699667977
"Gfm2",0.00197176245877892,0.969403440943168,0.145654404972877,5.65067455536597e-08,-0.00401827026359137,0.867925033961402
"Gm10925",-0.000502142109440829,0.942702013971871,-2.56406545323697,8.27697136454441e-18,-0.00075430707624676,0.991349346891394
"Gm11346",-0.00129492124913968,0.952350155222627,-0.471566717768892,6.20769892437843e-10,-0.00398828772721614,0.798666106462482
"Gm2011",-0.000445030269715938,0.990542262954265,0.386594549446541,1.17546210103002e-09,-0.000893482857903095,0.996294488012434
"Gm28437",-0.000205061829221867,0.968836696714222,-5.68576198559113,1.04682378007219e-27,0.000576316342392889,0.984898415241588
"Gm28661",5.77463204611175e-05,0.990542262954265,-6.54494193119345,9.09956570331495e-16,0.000269663829933296,0.993197383843227
"Gm48499",-9.89509241247788e-06,0.999505368686358,-0.768028036991127,1.12078036944475e-08,-1.26956672175353e-05,0.998896051182073
"Gng11",0.000570197414582478,0.98809160618029,0.0223635797579751,0.610818823663994,0.214244246345638,0.00516398796932043
"Gng4",-0.15152636699145,0.0246849594874274,-0.0440520999712462,0.27299775540033,0.00473406845403759,0.741470547557074
"Gnpnat1",-0.000462190676757211,0.99294488797459,-0.216715347933692,1.18865169332741e-07,0.00122808006596445,0.9929639004171
"Gpi1",0.0004944828453349,0.995580113626721,0.108309239878912,8.26301480339349e-07,0.00812805871630722,0.527527228737946
"Gpld1",-0.00108111374282272,0.989194360589409,0.151882344514123,2.15509983354734e-08,-0.00145651672326142,0.9929639004171
"Gpr83",-0.0019092771983468,0.940384224656841,-0.0663882639199211,0.077989158585671,-0.101334664690574,0.0420000699667977
"Grsf1",-0.00569048458700302,0.845452035752873,-0.120856697562042,5.94506928364096e-07,-0.000250761467772853,0.998896051182073
"Gsdme",-0.00121910588605164,0.958279572487454,0.43124889821329,1.68956801559677e-10,0.000652820780591955,0.997993037617109
"Gss",0.000218616886198591,0.995960985726373,0.393259051831379,3.09116839292379e-12,0.00244532235633414,0.944256331193204
"H2-T24",0.00060608777493226,0.968437343396065,0.667425285687428,1.59090069136485e-08,-0.000565779795072232,0.997993037617109
"Hddc3",0.000822622863151406,0.983349714746816,0.311771046730272,6.20769892437843e-10,-0.000396441863522106,0.998108325392452
"Hey1",0.000737262935865032,0.990542262954265,-0.0572847681073338,0.0546879829966064,-0.0761781377029324,0.0393628392046827
"Heyl",-0.114233048533905,0.0406403601867947,-0.0270323222469252,0.51649623218509,-0.00305515949723137,0.883097481603122
"Hhip",0.00119030626450106,0.960994085529698,0.0385768338326504,0.344231100520889,0.179918947221635,0.00989572050579648
"Hnrnpa3",-0.00147185181566035,0.981284179324199,-0.173140438018676,4.21612001127938e-12,0.00112334281469453,0.997993037617109
"Hnrnpd",-0.00394628809580497,0.935824950507419,-0.120817704835052,2.98149602251744e-09,-0.00292486779921655,0.960210148798588
"Hpcal1",-0.000345964720035811,0.990542262954265,-0.0122964831354231,0.791538300709015,-0.174083353162428,0.0148012714608553
"Hrh3",-9.3826220903667e-05,0.999274111864182,0.00329514674583863,0.9483109610386,-0.184712445862663,0.00311309957135879
"Hrk",0.00515382909667872,0.68360929085425,-0.0288983520594879,0.485804720877148,-0.119177406302389,0.0274136854978684
"Htr5a",0.000766217008415287,0.990542262954265,0.0190446974624903,0.607088325786627,0.0733055803761369,0.0459056099285975
"Il33",0.000500499323145161,0.991209167305601,-0.158741768291642,2.41537549291521e-05,-0.155965775228884,0.00295661773520967
"Iqcg",-0.00095514092088162,0.961201735198358,0.458676134854564,1.59090069136485e-08,-2.98148061361296e-05,0.998896051182073
"Isoc1",-0.165617466708835,0.00960618532930687,-0.0624056885471299,0.0858270163650273,0.00754978848252295,0.566346493660677
"Jam3",0.038345800657487,0.0464608337193164,0.0274692655613331,0.291817069544392,0.00288094886243668,0.957989903559835
"Jsrp1",0.00139794254095494,0.931668139435084,0.000687416935965853,0.987144217895214,-0.163168462554259,0.0219629916424465
"Kcna4",-0.088064268372342,0.041496196593065,-0.0467839488666207,0.187432626250738,0.00030490615215665,0.998896051182073
"Khnyn",0.00305403213044443,0.931668139435084,0.178586828595448,1.53239342466072e-08,0.00129554300714223,0.9929639004171
"Krt77",-0.00087449276899409,0.973885619322941,-0.0137840261250989,0.765097444480925,-0.125017839069473,0.0310922877270077
"Lgr6",-0.0890037578704058,0.0400851592125392,-0.155337447088524,0.00907478700312978,-0.000181252297036953,0.998896051182073
"Lipe",0.00242486680623077,0.892031380101478,0.361756598393553,1.25951353095474e-10,0.00160770125993903,0.977936954984339
"Lrrc14",-0.000566778653539322,0.990542262954265,0.261825231660732,2.16404323022166e-08,0.000688141070037072,0.997993037617109
"Lrrc17",-0.000152111351173369,0.990542262954265,-2.04696038576787,1.12265670328029e-13,-0.000299024926011081,0.997993037617109
"Lrrc40",-0.000727120953989712,0.973885619322941,0.487515297285758,3.58943483205767e-11,0.000759198616964472,0.997993037617109
"Mapk12",0.000929290277626993,0.981284179324199,-0.0265189635021761,0.514930651177591,-0.163711136616914,0.003297719377187
"Mcm9",-0.00268502229286528,0.870558400993168,0.293838921357399,7.93499044649535e-08,0.00141723943222845,0.986894709151733
"Mfge8",0.00192470562394253,0.952307504560234,-0.00355199271804265,0.941955762725244,-0.139267161103595,0.00790602943604937
