"","U2.M2.log2FoldChange","U2.M2.padj","U6.M6.log2FoldChange","U6.M6.padj","U10.M10.log2FoldChange","U10.M10.padj"
"mmu-let-7a-1-3p",1.16707056866932e-05,0.999509113902887,-0.831548103724808,9.16874553080552e-28,0.000447215423776523,0.999373018314728
"mmu-let-7a-5p",3.1725115149443e-06,0.999955965815954,0.332391393312776,4.1979255352879e-07,-0.00175722048835078,0.972737340179717
"mmu-let-7b-5p",1.20833851830153e-05,0.999509113902887,0.30467928016734,9.86945833275982e-08,-0.00524562723986655,0.886954770231801
"mmu-let-7c-2-3p",1.19687081564145e-05,0.999509113902887,-0.82952104980332,9.16874553080552e-28,0.000449069915940306,0.999373018314728
"mmu-let-7c-5p",1.11823970152391e-05,0.999509113902887,0.350508371013431,2.17151261735589e-07,-0.00488568042881402,0.910909601380396
"mmu-let-7e-5p",-2.51655006683232e-06,0.999955965815954,0.27006579177133,2.00714926018721e-07,-0.00646430075811206,0.832036431137308
"mmu-let-7f-1-3p",-2.26201988801464e-05,0.999509113902887,-0.324067716117421,2.93796899392347e-07,0.0074935330865108,0.832036431137308
"mmu-let-7f-2-3p",-1.584208884862e-05,0.999509113902887,-0.722291515116543,6.44558663025887e-26,0.00382891429215412,0.947710742516897
"mmu-miR-100-5p",2.50525581623493e-05,0.999509113902887,-0.692035033900233,1.40055972987714e-16,-0.000185142374486195,0.999373018314728
"mmu-miR-101a-3p",1.21966391129183e-06,0.999955965815954,-0.793384064267377,4.91479187185847e-21,0.00446837216481651,0.930060602657805
"mmu-miR-101b-3p",1.56146567700053e-05,0.999509113902887,-0.676304897830087,4.68918871090924e-19,0.00225355860861521,0.971653343154634
"mmu-miR-101c",-9.60456963539542e-06,0.999509113902887,-0.863330168248005,1.22445898065839e-23,0.00190356421679514,0.972737340179717
"mmu-miR-10b-5p",0.000109931794639524,0.999509113902887,-0.902435671587036,3.57572231912343e-12,0.0184258681011198,0.535141931973174
"mmu-miR-1224-5p",0.000103070801359135,0.999509113902887,0.293622500906811,9.98849430633905e-08,-0.00274482347755627,0.962223135374091
"mmu-miR-125a-5p",-4.55909923191256e-05,0.999509113902887,-0.45071765867934,7.62771804936217e-13,-6.89581228898228e-05,0.999373018314728
"mmu-miR-125b-1-3p",7.29783633004064e-06,0.999509113902887,0.533280232158438,2.73646332233915e-09,0.00572632324531753,0.848315397580105
"mmu-miR-125b-5p",-3.34646070847252e-05,0.999509113902887,-0.635610802021399,4.81430933740528e-15,0.00477929708422728,0.917121579791525
