"","HD2.log2FoldChange","HD2.padj","WT2.log2FoldChange","WT2.padj","HD6.log2FoldChange","HD6.padj","WT6.log2FoldChange","WT6.padj","HD10.log2FoldChange","HD10.padj","WT10.log2FoldChange","WT10.padj"
"2310022B05Rik",0.00052365127232225,0.952617583986615,0.00172667819673735,0.921366581611471,0.00679466632768306,0.57851175234897,0.00215135765166191,0.976774218239455,0.0621098500007769,0.0438080566905294,0.0131274283683094,0.215015724615124
"AA986860",-0.00211925552862075,0.796192719874932,-0.000155622571333079,0.978094093782352,-0.0448724367795421,0.138960438822298,-0.0104297421916698,0.797674103700392,-0.111170013920854,0.0349551638248863,-0.000260895964775902,0.987039949704106
"Abcg2",-0.121635978807882,0.0182912789286449,-0.00340815414120344,0.90663791780776,-0.0500868623973168,0.104923282527416,-0.0513351810911649,0.181741062284576,-0.0993507970918031,0.0172082500952138,3.67317567927096e-05,0.997636213866355
"Acr",0.000108300875443131,0.999899773256004,-0.000140340633263779,0.967152402007976,-0.000843672289622772,0.997778888080173,-0.167377357043374,0.0453708123848027,-0.00747281795723241,0.623482790689136,0.000198771519313098,0.997636213866355
"Acss2",9.90921456050596e-05,0.999899773256004,-0.00046908537939597,0.968708640153809,0.0113047640713872,0.378585308887085,0.0188320653446589,0.672086827476202,0.0509563480807617,0.0475552319177667,0.000434365219091526,0.860652348706983
"Adal",-1.82133224202079e-05,0.999899773256004,0.00200067949518987,0.921366581611471,0.00019772476455774,0.997778888080173,0.093362109422792,0.0468610833755727,0.0102878994714629,0.642503728067927,3.22899063678854e-05,0.997636213866355
"Adgrg1",0.165929671739541,0.000638530016647315,0.0024613522422897,0.921366581611471,0.186018738347017,4.35679111100427e-06,0.134917830492226,0.0229695426015169,0.155537408336858,0.000351966393585624,0.000235560926973295,0.946994023566105
"Akap12",0.000258556702612587,0.999899773256004,0.00146890072902291,0.921366581611471,0.00838657948852271,0.541612587677066,0.0355776536176429,0.27656815990651,0.12713952238329,0.017382841303824,8.45084976003456e-06,0.997636213866355
"Aldh1a1",-0.127982764246967,0.0115522267234005,-0.00591930005670753,0.699357248258553,-0.0727655673185829,0.0549697492411313,-0.031862651607101,0.357889906634115,-0.161105288227493,0.000192718160210803,-0.000200902257843106,0.975701640489319
"Aldh1a3",-0.00039878982323633,0.999899773256004,0.000411800294970628,0.94095802845593,-0.00343635942989296,0.82981922886498,0.0043013984686128,0.927072706803559,-0.229749407968581,0.00443569000456614,-0.0643555039167725,0.193427512193593
"Amz1",2.72204545992614e-05,0.999899773256004,0.000616337801862392,0.93838613684583,-0.130479913626816,0.0213665181038431,-0.0571861877015904,0.157240435133681,-0.00590677819288112,0.784040827380095,-0.000117132744652629,0.997636213866355
