"","MQ202M.log2FoldChange","MQ202M.padj","MQ802M.log2FoldChange","MQ802M.padj","MQ922M.log2FoldChange","MQ922M.padj","MQ1112M.log2FoldChange","MQ1112M.padj","MQ1402M.log2FoldChange","MQ1402M.padj","MQ1752M.log2FoldChange","MQ1752M.padj","MQ206m.log2FoldChange","MQ206m.padj","MQ806m.log2FoldChange","MQ806m.padj","MQ926m.log2FoldChange","MQ926m.padj","MQ1116m.log2FoldChange","MQ1116m.padj","MQ1406m.log2FoldChange","MQ1406m.padj","MQ1756m.log2FoldChange","MQ1756m.padj","MQ2010m.log2FoldChange","MQ2010m.padj","MQ8010m.log2FoldChange","MQ8010m.padj","MQ9210m.log2FoldChange","MQ9210m.padj","MQ11110m.log2FoldChange","MQ11110m.padj","MQ14010m.log2FoldChange","MQ14010m.padj","MQ17510m.log2FoldChange","MQ17510m.padj","FQ202M.log2FoldChange","FQ202M.padj","FQ802M.log2FoldChange","FQ802M.padj","FQ922M.log2FoldChange","FQ922M.padj","FQ1112M.log2FoldChange","FQ1112M.padj","FQ1402M.log2FoldChange","FQ1402M.padj","FQ1752M.log2FoldChange","FQ1752M.padj","FQ206m.log2FoldChange","FQ206m.padj","FQ806m.log2FoldChange","FQ806m.padj","FQ926m.log2FoldChange","FQ926m.padj","FQ1116m.log2FoldChange","FQ1116m.padj","FQ1406m.log2FoldChange","FQ1406m.padj","FQ1756m.log2FoldChange","FQ1756m.padj","FQ2010m.log2FoldChange","FQ2010m.padj","FQ8010m.log2FoldChange","FQ8010m.padj","FQ9210m.log2FoldChange","FQ9210m.padj","FQ11110m.log2FoldChange","FQ11110m.padj","FQ14010m.log2FoldChange","FQ14010m.padj","FQ17510m.log2FoldChange","FQ17510m.padj"
"mmu-let-7a-1-3p",-0.00256114553063363,0.938555099586936,-0.0287331553135007,0.780855098913165,8.987697215702e-05,0.987020564614848,-0.0598297054523712,0.533095862332864,-5.46781387987538e-05,0.968109333246085,-0.00978176162123848,0.820652168263667,-1.31922015533186,1.12000197427502e-24,-1.44854422825378,5.498290218125e-29,-1.48074905220138,4.6514225039791e-30,-1.3684204869992,1.32892936869252e-26,-1.46436190223005,2.02412849870323e-29,-1.35360859950891,1.45111033255706e-22,0.00349320351724545,0.985644260088657,-4.21577920212922e-05,0.988173575030978,0.00845273294182247,0.921623286126155,-3.571108636097e-05,0.982811141988123,0.00102617263357192,0.994566178978499,0.0216472553141857,0.820187008478985,-4.46084588401638e-06,0.998560089507991,9.23449202840734e-05,0.963672222138512,0.00828044080332218,0.938356681738888,5.99559382185285e-05,0.991841773703372,1.56897166398259e-05,0.988219181429296,0.000307316798718704,0.996379597326702,-1.18685183045252,1.48072081924295e-23,-1.35331700446718,1.93723675845121e-29,-1.39387672976563,3.33251021247008e-31,-1.26394220910682,3.2883556310707e-26,-1.41159802156404,1.77368939408905e-31,-1.26755693405724,5.43406693738185e-26,7.27038777635885e-06,0.99801653984132,-4.35452790652384e-05,0.9878475335535,0.000160959028046253,0.993599793741276,-0.00147198000126567,0.998976523335555,-0.0219911401298563,0.825589826749017,0.00105904442418991,0.995151374988766
"mmu-let-7a-5p",-0.00355359918109391,0.938555099586936,0.04520429934084,0.598324422233367,7.77637413750844e-05,0.987020564614848,-0.00828737005758191,0.95680716540209,-0.000114286451836391,0.968109333246085,-0.0169417055119091,0.757472554209522,1.30336658160713,1.26931996205396e-36,1.28822560561515,1.52464038054416e-35,1.33190984530523,3.83814855517876e-38,1.18297394680171,3.9284302229758e-30,1.25977294737871,3.69283897104571e-34,1.4018543454864,5.85787435470906e-37,0.0811751880130488,0.479742960354102,-2.7075358395779e-05,0.988173575030978,0.0212112649389405,0.825564932537104,0.00011573891467173,0.982811141988123,0.000809982688598978,0.994566178978499,0.0189228606210766,0.820187008478985,-4.03500902571552e-05,0.998560089507991,8.952177285705e-05,0.963672222138512,-0.0164750642299166,0.908721780597293,-3.66012134060448e-05,0.991841773703372,-3.77870293039486e-05,0.988219181429296,-0.000122564201999982,0.996379597326702,0.904044187252418,2.68015042007026e-21,0.670603329203185,2.54436388943721e-12,0.815715377932397,1.44757538150413e-17,0.965880035113752,4.44252080914152e-24,0.819201805501989,1.16266776626559e-17,0.775696012132435,4.73214261878334e-16,7.54867411514409e-05,0.99801653984132,-3.36580865257117e-07,0.999947964936061,8.97812736195535e-05,0.993599793741276,-0.0020454836456187,0.998976523335555,-0.030270791739284,0.743099203388527,0.0132766681431149,0.938272128184417
"mmu-let-7b-3p",-0.00721584845108714,0.84785837697928,0.0118186744438595,0.96843733815807,9.64122747202321e-05,0.987020564614848,-0.0310982888335392,0.780120316647571,0.00033462727010521,0.968109333246085,0.00367441528791377,0.951710287408903,-0.584559555752888,2.7316240676045e-07,-0.618393566613797,6.70112662965716e-08,-0.505537116040138,1.05223847053857e-05,-0.568536091480417,5.76668707323324e-07,-0.56906523635766,6.78171008043159e-07,-0.657180199058665,8.11035874165929e-08,-0.040349191480757,0.769729617664723,0.000162502399027931,0.988173575030978,0.0157942515141395,0.836017628585822,-8.85997945525871e-05,0.982811141988123,0.00744143752162836,0.908254767503384,0.025762072396171,0.774686753692893,0.000226549549291992,0.998560089507991,-3.42847975659056e-05,0.979642108231077,0.011055819654383,0.938356681738888,-8.45912861846598e-05,0.991841773703372,0.000357653586427174,0.988219181429296,2.25591707541119e-05,0.996379597326702,-0.224361717193019,0.0366258733124108,-0.271980643160451,0.0119315450719493,-0.21954038572989,0.0412074704511462,-0.256980126763659,0.0165281777731286,-0.246870139638475,0.0227768100832822,-0.297629716935427,0.00563085327733275,1.36539962770048e-07,0.999221117055007,-3.02476068171082e-05,0.9878475335535,8.26209478547043e-05,0.993599793741276,0.00243722231185248,0.998976523335555,0.0658016409570474,0.353009461064636,-0.0178265981384477,0.916222886188365
"mmu-let-7b-5p",0.00588784434903779,0.938555099586936,0.0628937053925815,0.429374925232966,3.82734148608325e-05,0.987020564614848,0.0233054244145881,0.823287509969533,-6.41397495206969e-05,0.968109333246085,-0.00128904493791344,0.978504529712289,1.10482875647529,1.46687959537356e-37,1.09629288341308,8.24920006195703e-37,1.05840024389094,1.40224356035906e-34,0.980754931636588,9.19441885841722e-30,1.05030842941983,4.95114786464461e-34,1.22607594833386,1.76686740121116e-40,0.107858248142553,0.324686936496012,9.34684857254347e-05,0.988173575030978,0.0170666499021529,0.836678478678191,4.2949308594215e-06,0.994955539595435,0.00154312852909943,0.994566178978499,-0.00510198529281305,0.927087238677307,4.61949055598883e-05,0.998560089507991,0.000291134663127356,0.963672222138512,-0.0135963047102194,0.938356681738888,0.000125464022066003,0.991841773703372,0.00018884250110461,0.988219181429296,-0.000242787509257078,0.996379597326702,0.780850108304363,8.54760881114788e-23,0.609496019466033,2.12418647475061e-14,0.741874292214338,9.65144158550093e-21,0.910441855757846,2.540334512088e-30,0.737746475491852,2.09841896866544e-20,0.616987030818681,1.07688495894812e-14,6.64447385456436e-05,0.99801653984132,-3.40886723741997e-05,0.9878475335535,-3.93869793035671e-05,0.993599793741276,-0.00665747821707608,0.998976523335555,-0.0489656647769302,0.555351857891473,-0.00014937422404067,0.995151374988766
"mmu-let-7c-2-3p",-0.0026068670384168,0.938555099586936,-0.0287790462143213,0.780855098913165,8.99740791655601e-05,0.987020564614848,-0.0599154900178191,0.533095862332864,-5.40729371998444e-05,0.968109333246085,-0.00980151072772845,0.820652168263667,-1.31764484529304,1.12000197427502e-24,-1.4467561748016,5.498290218125e-29,-1.47985412550309,4.59074394832295e-30,-1.36780057724254,1.29137105130376e-26,-1.46205143492202,2.05909981113466e-29,-1.34908428347192,1.73929358440356e-22,0.00365574625447642,0.985644260088657,-4.17188820369605e-05,0.988173575030978,0.00848346240085881,0.921623286126155,-3.51408743609445e-05,0.982811141988123,0.00104804594336586,0.994566178978499,0.0219133738340165,0.820187008478985,-2.54584597874289e-06,0.998560089507991,9.33589768921923e-05,0.963672222138512,0.00840305080957628,0.938356681738888,6.02246804977771e-05,0.991841773703372,1.66128063706872e-05,0.988219181429296,0.000308924352410784,0.996379597326702,-1.18172414472421,1.99442348004693e-23,-1.34887206407458,2.11199179773453e-29,-1.39143376859288,3.3569366354977e-31,-1.25982206383649,4.06548510638121e-26,-1.40749703347842,2.11001197863454e-31,-1.26114383377365,7.50670560516486e-26,7.28357219961291e-06,0.99801653984132,-4.36430568173942e-05,0.9878475335535,0.000161313654949698,0.993599793741276,-0.0015248898041472,0.998976523335555,-0.0221593436446821,0.825589826749017,0.00106003103153893,0.995151374988766
"mmu-let-7c-5p",0.000216905248918586,0.996608845972874,0.0552854482948209,0.467366667619187,2.81833368909558e-05,0.987020564614848,0.014645379048521,0.917442805693851,-0.000121376731136036,0.968109333246085,-0.00916229115674519,0.825775148396285,1.32410178299568,1.98413598408157e-42,1.26965233397854,7.92063695705731e-39,1.31985959346276,3.79386619337396e-42,1.09271601390793,3.89041308027247e-29,1.31057919294075,1.97749328797608e-41,1.46536513230113,4.93095313958297e-45,0.170755703518121,0.0671892024800183,-3.97838690941713e-06,0.988173575030978,0.0198569574347023,0.836017628585822,6.30668263261469e-05,0.982811141988123,0.0032349278145947,0.994566178978499,0.0130420654324558,0.877487428226952,6.37907730893041e-05,0.998560089507991,0.000240133562850994,0.963672222138512,-0.0138460625458109,0.934218297996446,5.428268909584e-05,0.991841773703372,0.00010657663481128,0.988219181429296,-0.000111415493951495,0.996379597326702,1.02105741646955,6.73087363766609e-30,0.804934911487948,3.1976736587787e-19,0.953253090028944,2.79084648808209e-26,1.09105892900022,7.88764025710834e-34,0.986209289886759,5.4910081744952e-28,0.852482459202428,2.40301196142887e-21,0.000206637902224808,0.99801653984132,6.34763563862737e-05,0.9878475335535,8.49594347995521e-05,0.993599793741276,-0.00113309723590563,0.998976523335555,0.00292087008444407,0.981442319678557,0.0150614699728841,0.916222886188365
"mmu-let-7d-3p",0.000914973767831294,0.974305181831073,0.00965547351262725,0.96843733815807,-0.000120621535649807,0.987020564614848,-0.0587444049817433,0.563223272237501,0.00030808522161252,0.968109333246085,-0.0182444624398496,0.757472554209522,0.304282423249061,0.000848858295934789,0.0910821646589025,0.265872989140388,0.257928641595101,0.00488228413422097,0.292960067355007,0.00128373471510156,0.27154364468773,0.00278462520491348,0.199023525541564,0.0363996520460711,-0.000275841563501004,0.998815900854331,4.39120562849185e-05,0.988173575030978,-0.0148379773519655,0.860376543891836,7.16560699585438e-05,0.982811141988123,-0.00127585355269741,0.994566178978499,-0.00948754913997485,0.911660654685615,-0.000119052340983319,0.998560089507991,-7.12018572003156e-05,0.965153739079869,0.0262423008247334,0.833205115726609,-5.97216784268841e-05,0.991841773703372,-7.95057034521547e-06,0.991406286144205,-0.000115571263835738,0.996379597326702,0.155603568523098,0.0716937200022209,0.240907121293281,0.00469172447149006,0.183620118466263,0.0316727554988944,0.17629471779481,0.039332687937754,0.217697970311783,0.0106789936165353,0.164730745977922,0.0581392302831861,0.000168355541441079,0.99801653984132,0.00020353401625152,0.9878475335535,0.000257275851119897,0.993599793741276,0.00861262140527897,0.998976523335555,0.0458328293726976,0.569358314571683,0.0153576069368504,0.916222886188365
"mmu-let-7d-5p",-0.00100438281091643,0.974037410012488,0.039198448696149,0.645730635498805,3.57673373238771e-05,0.987020564614848,0.0131722056573098,0.928115944651717,-0.000117245593438078,0.968109333246085,-0.00816059954537334,0.825775148396285,1.2374458829796,3.65871629094786e-25,1.28059179358664,1.1958887047206e-26,1.29718631575634,1.60119493172743e-27,1.13645346764171,2.07518120503215e-21,1.14171414101095,1.31660423745341e-21,1.25258754409609,1.08386161950476e-22,-0.0385099975214409,0.788638054083146,-4.92444184336901e-05,0.988173575030978,0.00957722267651242,0.919366411179153,5.71743877791395e-05,0.982811141988123,-0.000231043424835203,0.994566178978499,0.0120771521498877,0.916539443984924,5.73473146109923e-05,0.998560089507991,-0.000114966040318616,0.963672222138512,-0.0096614371932193,0.938356681738888,-0.000163656972681641,0.991841773703372,-5.89075567457832e-05,0.988219181429296,-0.00021919511478594,0.996379597326702,0.721097781165342,7.53768672494292e-11,0.522716808204873,2.81815943877644e-06,0.662156642343348,2.55069679566803e-09,0.826966686072675,7.54037777731065e-14,0.635184555850393,1.18318488522851e-08,0.671058516951751,1.31326822844532e-09,2.00384572366865e-05,0.99801653984132,-1.18891091844373e-05,0.9878475335535,3.48771448549889e-05,0.993599793741276,-0.00303597193828433,0.998976523335555,-0.0750505475806472,0.315746392923201,0.00421764997644927,0.966855394889455
"mmu-let-7e-3p",0.00740198738012416,0.861358420634081,0.0200519580108773,0.92333733963749,1.10333261551649e-05,0.987020564614848,-0.00949459655886225,0.95680716540209,-5.30773218300933e-05,0.968109333246085,-0.00971891172983333,0.825775148396285,-0.320253012232723,0.00285084947551431,-0.608517110106027,2.98716937189879e-08,-0.331417688760098,0.0025480151277866,-0.274154810827397,0.00826583832942052,-0.358137452198745,0.00095983146025144,-0.385568543509519,0.000938688728338681,-0.00864682287495804,0.985644260088657,8.97176279187254e-05,0.988173575030978,-0.018199690031194,0.836017628585822,8.28349320597539e-05,0.982811141988123,-0.00509078179707869,0.949394866897774,0.0071195350751641,0.927087238677307,8.43514029608491e-05,0.998560089507991,0.000415719537278185,0.963672222138512,0.0185771529612532,0.883898954822329,0.000311726834266869,0.991841773703372,0.000353746760663437,0.988219181429296,-3.80624979738766e-05,0.996379597326702,-0.414678273939003,1.92777329494774e-05,-0.250477437927436,0.0114624239741977,-0.299318217543953,0.00234157723662751,-0.53703815463425,7.66030141396013e-08,-0.348428858264235,0.000618196643512838,-0.354222200196051,0.000436987536666598,8.25569864513368e-05,0.99801653984132,0.000218531983496754,0.9878475335535,0.000290529059143454,0.993599793741276,-0.0021541598244128,0.998976523335555,0.0105874679760849,NA,0.016166854312387,0.916222886188365
"mmu-let-7e-5p",0.0032563410301504,0.938555099586936,0.0598802001615552,0.467366667619187,0.000244199320174918,0.987020564614848,0.0249231303400617,0.818174148577714,-0.000233247260462791,0.968109333246085,-0.0200285335958231,0.757472554209522,0.959841626886625,3.07439920126519e-28,0.915750269632205,1.01076522771338e-25,0.957560560771113,4.07809759803157e-28,0.899431031818501,6.09100854724864e-25,0.949509154795744,1.3182048971143e-27,1.07296880052284,1.01233099811485e-30,0.118396415612494,0.278637559812602,1.66708022225124e-05,0.988173575030978,0.00976855868041724,0.921623286126155,0.000113643231863134,0.982811141988123,-0.00335918500861011,0.994566178978499,0.0145704244046445,0.821293060935711,4.47428750090351e-05,0.998560089507991,0.000256801640796978,0.963672222138512,-0.0138196674683876,0.938356681738888,3.22845780281345e-05,0.991841773703372,7.10465450806616e-05,0.988219181429296,-0.00017822501817496,0.996379597326702,0.616869400837943,1.94260667768606e-14,0.475298378709197,4.78232288518722e-09,0.568105223357976,2.04516599026593e-12,0.659041259912391,2.68381165545512e-16,0.587636359587065,3.632363328851e-13,0.549176315050085,1.08250868152182e-11,0.000193853995196017,0.99801653984132,4.32860004067296e-05,0.9878475335535,5.0233112858891e-05,0.993599793741276,-0.00563243711488123,0.998976523335555,-0.0403513933873896,0.610779580420223,0.023296387777917,0.916222886188365
