"","Q202M.log2FoldChange","Q202M.padj","Q802M.log2FoldChange","Q802M.padj","Q922M.log2FoldChange","Q922M.padj","Q1112M.log2FoldChange","Q1112M.padj","Q1402M.log2FoldChange","Q1402M.padj","Q1752M.log2FoldChange","Q1752M.padj","Q206m.log2FoldChange","Q206m.padj","Q806m.log2FoldChange","Q806m.padj","Q926m.log2FoldChange","Q926m.padj","Q1116m.log2FoldChange","Q1116m.padj","Q1406m.log2FoldChange","Q1406m.padj","Q1756m.log2FoldChange","Q1756m.padj","Q2010m.log2FoldChange","Q2010m.padj","Q8010m.log2FoldChange","Q8010m.padj","Q9210m.log2FoldChange","Q9210m.padj","Q11110m.log2FoldChange","Q11110m.padj","Q14010m.log2FoldChange","Q14010m.padj","Q17510m.log2FoldChange","Q17510m.padj"
"0610010F05Rik",0.00158051028226448,0.96891131109945,-0.00641008544272069,0.770781253451961,-0.00641008544272069,0.770781253451961,-0.00641008544272069,0.770781253451961,-0.00641008544272069,0.770781253451961,-0.00641008544272069,0.770781253451961,-0.193506234481532,2.81516947673445e-06,0.161637151514217,0.011178404789984,0.161637151514217,0.011178404789984,0.161637151514217,0.011178404789984,0.161637151514217,0.011178404789984,0.161637151514217,0.011178404789984,8.92337617948696e-06,0.999394469153369,-3.27796574250695e-06,0.999394469153369,-3.27796574250695e-06,0.999394469153369,-3.27796574250695e-06,0.999394469153369,-3.27796574250695e-06,0.999394469153369,-3.27796574250695e-06,0.999394469153369
"0610012G03Rik",-0.00641008544272069,0.770781253451961,-0.00980655848470527,0.715628051950504,-0.00980655848470527,0.715628051950504,-0.00980655848470527,0.715628051950504,-0.00980655848470527,0.715628051950504,-0.00980655848470527,0.715628051950504,0.161637151514217,0.011178404789984,-0.181234718201407,0.00500052970826389,-0.181234718201407,0.00500052970826389,-0.181234718201407,0.00500052970826389,-0.181234718201407,0.00500052970826389,-0.181234718201407,0.00500052970826389,-3.27796574250695e-06,0.999394469153369,2.71462982940565e-05,0.999394469153369,2.71462982940565e-05,0.999394469153369,2.71462982940565e-05,0.999394469153369,2.71462982940565e-05,0.999394469153369,2.71462982940565e-05,0.999394469153369
"1110008P14Rik",-0.00485432571264769,0.790841133688996,-0.00183187463054409,0.952897912239797,-0.00183187463054409,0.952897912239797,-0.00183187463054409,0.952897912239797,-0.00183187463054409,0.952897912239797,-0.00183187463054409,0.952897912239797,0.0287916470187142,0.724674941422377,0.201382112204665,0.000134314036887673,0.201382112204665,0.000134314036887673,0.201382112204665,0.000134314036887673,0.201382112204665,0.000134314036887673,0.201382112204665,0.000134314036887673,-2.58426557110369e-07,0.999394469153369,-2.55539234310759e-06,0.999394469153369,-2.55539234310759e-06,0.999394469153369,-2.55539234310759e-06,0.999394469153369,-2.55539234310759e-06,0.999394469153369,-2.55539234310759e-06,0.999394469153369
"1110032F04Rik",-0.00980655848470527,0.715628051950504,-0.0137751823091453,0.711743306164316,-0.0137751823091453,0.711743306164316,-0.0137751823091453,0.711743306164316,-0.0137751823091453,0.711743306164316,-0.0137751823091453,0.711743306164316,-0.181234718201407,0.00500052970826389,0.0129944937756589,0.87332586544248,0.0129944937756589,0.87332586544248,0.0129944937756589,0.87332586544248,0.0129944937756589,0.87332586544248,0.0129944937756589,0.87332586544248,2.71462982940565e-05,0.999394469153369,-3.35266475131512e-05,0.999394469153369,-3.35266475131512e-05,0.999394469153369,-3.35266475131512e-05,0.999394469153369,-3.35266475131512e-05,0.999394469153369,-3.35266475131512e-05,0.999394469153369
"1700001O22Rik",-0.00120740654711505,0.950468440588028,0.0106134884655263,0.746948006249971,0.0106134884655263,0.746948006249971,0.0106134884655263,0.746948006249971,0.0106134884655263,0.746948006249971,0.0106134884655263,0.746948006249971,0.101955869045674,0.154335187372581,-0.00698420708439007,0.912877869892235,-0.00698420708439007,0.912877869892235,-0.00698420708439007,0.912877869892235,-0.00698420708439007,0.912877869892235,-0.00698420708439007,0.912877869892235,8.83328629824592e-08,0.999394469153369,-1.89091314532036e-05,0.999394469153369,-1.89091314532036e-05,0.999394469153369,-1.89091314532036e-05,0.999394469153369,-1.89091314532036e-05,0.999394469153369,-1.89091314532036e-05,0.999394469153369
"1700019D03Rik",-0.0154093089107564,0.711743306164316,0.00425477576942441,0.765608432166875,0.00425477576942441,0.765608432166875,0.00425477576942441,0.765608432166875,0.00425477576942441,0.765608432166875,0.00425477576942441,0.765608432166875,-0.10859457593452,0.0511303922880459,1.24585242136293,1.2812134312863e-23,1.24585242136293,1.2812134312863e-23,1.24585242136293,1.2812134312863e-23,1.24585242136293,1.2812134312863e-23,1.24585242136293,1.2812134312863e-23,2.47259375193329e-05,0.999394469153369,-2.11328684975707e-06,0.999394469153369,-2.11328684975707e-06,0.999394469153369,-2.11328684975707e-06,0.999394469153369,-2.11328684975707e-06,0.999394469153369,-2.11328684975707e-06,0.999394469153369
"1700029I15Rik",-0.00896114697599219,0.711743306164316,-0.00138659662376272,0.957491942321023,-0.00138659662376272,0.957491942321023,-0.00138659662376272,0.957491942321023,-0.00138659662376272,0.957491942321023,-0.00138659662376272,0.957491942321023,1.61391933301699,2.18578109484428e-58,0.677446549618488,1.34318822652855e-21,0.677446549618488,1.34318822652855e-21,0.677446549618488,1.34318822652855e-21,0.677446549618488,1.34318822652855e-21,0.677446549618488,1.34318822652855e-21,-1.13660457027364e-05,0.999394469153369,-1.97700911231069e-06,0.999394469153369,-1.97700911231069e-06,0.999394469153369,-1.97700911231069e-06,0.999394469153369,-1.97700911231069e-06,0.999394469153369,-1.97700911231069e-06,0.999394469153369
"1700030J22Rik",0.000343933913244103,0.990517904785336,-0.0125356385092409,0.742059247336716,-0.0125356385092409,0.742059247336716,-0.0125356385092409,0.742059247336716,-0.0125356385092409,0.742059247336716,-0.0125356385092409,0.742059247336716,0.0524887701636368,0.423215667995419,-0.011818358221659,0.803579317676003,-0.011818358221659,0.803579317676003,-0.011818358221659,0.803579317676003,-0.011818358221659,0.803579317676003,-0.011818358221659,0.803579317676003,-3.12232336618637e-05,0.999394469153369,2.42928918346606e-05,0.999394469153369,2.42928918346606e-05,0.999394469153369,2.42928918346606e-05,0.999394469153369,2.42928918346606e-05,0.999394469153369,2.42928918346606e-05,0.999394469153369
"1700030K09Rik",-0.00183187463054409,0.952897912239797,0.0012407548392273,0.84923147537942,0.0012407548392273,0.84923147537942,0.0012407548392273,0.84923147537942,0.0012407548392273,0.84923147537942,0.0012407548392273,0.84923147537942,0.201382112204665,0.000134314036887673,0.0611714884624562,0.323749882271803,0.0611714884624562,0.323749882271803,0.0611714884624562,0.323749882271803,0.0611714884624562,0.323749882271803,0.0611714884624562,0.323749882271803,-2.55539234310759e-06,0.999394469153369,1.63614752835136e-05,0.999394469153369,1.63614752835136e-05,0.999394469153369,1.63614752835136e-05,0.999394469153369,1.63614752835136e-05,0.999394469153369,1.63614752835136e-05,0.999394469153369
"1700037C18Rik",-0.00638105428070841,0.763001503945446,-0.00486200275430235,0.790439086781732,-0.00486200275430235,0.790439086781732,-0.00486200275430235,0.790439086781732,-0.00486200275430235,0.790439086781732,-0.00486200275430235,0.790439086781732,0.275917431260572,4.21524613710401e-05,0.691772297483041,3.27611212225367e-15,0.691772297483041,3.27611212225367e-15,0.691772297483041,3.27611212225367e-15,0.691772297483041,3.27611212225367e-15,0.691772297483041,3.27611212225367e-15,-2.4031426927575e-07,0.999394469153369,-3.04231938423614e-05,0.999394469153369,-3.04231938423614e-05,0.999394469153369,-3.04231938423614e-05,0.999394469153369,-3.04231938423614e-05,0.999394469153369,-3.04231938423614e-05,0.999394469153369
