"","Run","AGE","Genotype","sex","Name"
"1","SRR1794085","2m","Q111","female","female_Q111_2m"
"2","SRR1794086","2m","Q111","female","female_Q111_2m"
"3","SRR1794087","2m","Q111","female","female_Q111_2m"
"4","SRR1794088","2m","Q111","female","female_Q111_2m"
"5","SRR1794089","2m","Q111","male","male_Q111_2m"
"6","SRR1794090","2m","Q111","male","male_Q111_2m"
"7","SRR1794091","2m","Q111","male","male_Q111_2m"
"8","SRR1794092","2m","Q111","male","male_Q111_2m"
"9","SRR1794093","6m","Q111","female","female_Q111_6m"
"10","SRR1794094","6m","Q111","female","female_Q111_6m"
"11","SRR1794095","6m","Q111","female","female_Q111_6m"
"12","SRR1794096","6m","Q111","female","female_Q111_6m"
"13","SRR1794097","6m","Q111","male","male_Q111_6m"
"14","SRR1794098","6m","Q111","male","male_Q111_6m"
"15","SRR1794099","6m","Q111","male","male_Q111_6m"
"16","SRR1794100","6m","Q111","male","male_Q111_6m"
"17","SRR1794101","10m","Q111","female","female_Q111_10m"
"18","SRR1794102","10m","Q111","female","female_Q111_10m"
"19","SRR1794103","10m","Q111","female","female_Q111_10m"
"20","SRR1794104","10m","Q111","female","female_Q111_10m"
"21","SRR1794105","10m","Q111","male","male_Q111_10m"
"22","SRR1794106","10m","Q111","male","male_Q111_10m"
"23","SRR1794107","10m","Q111","male","male_Q111_10m"
"24","SRR1794108","10m","Q111","male","male_Q111_10m"
"25","SRR1794109","2m","Q140","female","female_Q140_2m"
"26","SRR1794110","2m","Q140","female","female_Q140_2m"
"27","SRR1794111","2m","Q140","female","female_Q140_2m"
"28","SRR1794112","2m","Q140","female","female_Q140_2m"
"29","SRR1794113","2m","Q140","male","male_Q140_2m"
"30","SRR1794114","2m","Q140","male","male_Q140_2m"
"31","SRR1794115","2m","Q140","male","male_Q140_2m"
"32","SRR1794116","2m","Q140","male","male_Q140_2m"
"33","SRR1794117","6m","Q140","female","female_Q140_6m"
"34","SRR1794118","6m","Q140","female","female_Q140_6m"
"35","SRR1794119","6m","Q140","female","female_Q140_6m"
"36","SRR1794120","6m","Q140","female","female_Q140_6m"
"37","SRR1794121","6m","Q140","male","male_Q140_6m"
"38","SRR1794122","6m","Q140","male","male_Q140_6m"
"39","SRR1794123","6m","Q140","male","male_Q140_6m"
"40","SRR1794124","6m","Q140","male","male_Q140_6m"
"41","SRR1794125","10m","Q140","female","female_Q140_10m"
"42","SRR1794126","10m","Q140","female","female_Q140_10m"
"43","SRR1794127","10m","Q140","female","female_Q140_10m"
"44","SRR1794128","10m","Q140","female","female_Q140_10m"
"45","SRR1794129","10m","Q140","male","male_Q140_10m"
"46","SRR1794130","10m","Q140","male","male_Q140_10m"
"47","SRR1794131","10m","Q140","male","male_Q140_10m"
"48","SRR1794132","10m","Q140","male","male_Q140_10m"
"49","SRR1794133","2m","Q175","female","female_Q175_2m"
"50","SRR1794134","2m","Q175","female","female_Q175_2m"
"51","SRR1794135","2m","Q175","female","female_Q175_2m"
"52","SRR1794136","2m","Q175","female","female_Q175_2m"
"53","SRR1794137","2m","Q175","male","male_Q175_2m"
"54","SRR1794138","2m","Q175","male","male_Q175_2m"
"55","SRR1794139","2m","Q175","male","male_Q175_2m"
"56","SRR1794140","2m","Q175","male","male_Q175_2m"
"57","SRR1794141","6m","Q175","female","female_Q175_6m"
"58","SRR1794142","6m","Q175","female","female_Q175_6m"
"59","SRR1794143","6m","Q175","female","female_Q175_6m"
"60","SRR1794144","6m","Q175","female","female_Q175_6m"
"61","SRR1794145","6m","Q175","male","male_Q175_6m"
"62","SRR1794146","6m","Q175","male","male_Q175_6m"
"63","SRR1794147","6m","Q175","male","male_Q175_6m"
"64","SRR1794148","6m","Q175","male","male_Q175_6m"
"65","SRR1794149","10m","Q175","female","female_Q175_10m"
"66","SRR1794150","10m","Q175","female","female_Q175_10m"
"67","SRR1794151","10m","Q175","female","female_Q175_10m"
"68","SRR1794152","10m","Q175","female","female_Q175_10m"
"69","SRR1794153","10m","Q175","male","male_Q175_10m"
"70","SRR1794154","10m","Q175","male","male_Q175_10m"
"71","SRR1794155","10m","Q175","male","male_Q175_10m"
"72","SRR1794156","10m","Q175","male","male_Q175_10m"
"73","SRR1794157","2m","Q20","female","female_Q20_2m"
