"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-191-5p",3315.70993078267,22011.3913361806,2.79735850610171,0.00559686068458543,0.46271402589903,-4.59260986751075
"hsa-miR-374b-5p",-51.2062673886775,321.731264311322,-2.73445981647401,0.00674397197966894,0.46271402589903,-4.59273428042599
"hsa-miR-34c-5p",-68.1859940647862,481.42777470793,-2.44431660998177,0.0152790633353225,0.46271402589903,-4.59327584166917
"hsa-miR-204-5p",-11.3997083844945,29.8788828957533,-2.41875071151284,0.0163660673102065,0.46271402589903,-4.59332096668156
"hsa-miR-542-5p",-7.08689650485096,33.0460510067137,-2.41146279414846,0.0166882088034957,0.46271402589903,-4.59333375209108
"hsa-miR-516a-5p",-7.66075442327193,42.2627410399604,-2.37301490379059,0.0184821682978807,0.46271402589903,-4.59340062693622
"hsa-miR-29c-3p",-14.416572101923,77.7201218783304,-2.30949287652072,0.0218196782937448,0.46271402589903,-4.59350898512756
"hsa-miR-15a-5p",-331.137791670651,1874.36689397533,-2.22923401845656,0.0267830356615978,0.46271402589903,-4.59364207004497
"hsa-miR-423-5p",376.748240705982,1906.17611423216,2.16571942117531,0.0313801052674944,0.46271402589903,-4.59374433802999
"hsa-miR-548g-3p",-14.120806647958,149.373021796344,-2.14973259712944,0.0326393120996591,0.46271402589903,-4.59376965173425
"hsa-miR-19a-3p",-45.9554810287989,230.914489784489,-2.12367257126871,0.0347853315119338,0.46271402589903,-4.59381054538883
"hsa-miR-660-5p",-44.2032108271164,176.722759334031,-2.09525100068072,0.0372630277807127,0.46271402589903,-4.59385462042212
"hsa-miR-181a-5p",116.583254475299,683.863325153568,2.06919386628121,0.0396659830381573,0.46271402589903,-4.59389454657128
"hsa-miR-409-3p",22.3497143607916,75.241881720978,2.01210198478157,0.045396987508133,0.46271402589903,-4.59398040651396
"hsa-miR-2278",-13.7585712415866,44.519916129304,-1.97247861181079,0.0497751480582395,0.46271402589903,-4.5940386825924
"hsa-miR-28-5p",-49.5108599115229,284.727167737092,-1.96871334382078,0.050209143243482,0.46271402589903,-4.59404416417622
"hsa-miR-374a-5p",-67.2310119338017,349.757485641057,-1.96177736117154,0.051016963050293,0.46271402589903,-4.59405423620418
"hsa-miR-371a-5p",-5.72795353654241,6.67256420771806,-1.94546124541827,0.0529605558359683,0.46271402589903,-4.59407779867933
"hsa-miR-1180",32.2284654338842,222.637426476586,1.93691240743665,0.0540035279625011,0.46271402589903,-4.59409007086428
"hsa-miR-454-3p",-21.3783292829921,94.6173854245198,-1.93552633783083,0.0541742459699231,0.46271402589903,-4.59409205586186
"hsa-miR-194-5p",-80.7716775282891,536.10534890652,-1.90983765064442,0.0574212055979849,0.46271402589903,-4.59412860412461
"hsa-miR-16-5p",-5748.99274233472,29109.6251437811,-1.90196759536661,0.0584479723948813,0.46271402589903,-4.59413970965894
"hsa-let-7e-5p",-6.96972475337575,31.6047101505595,-1.90029727464235,0.0586678543013114,0.46271402589903,-4.5941420611427
"hsa-miR-942",74.6988036581428,606.357428655991,1.86184448908518,0.0639240999181158,0.46271402589903,-4.59419565913743
"hsa-miR-98",-30.7449816276106,174.574581112885,-1.85583046754911,0.0647805594836721,0.46271402589903,-4.59420394882425
"hsa-miR-30d-5p",152.160660911056,1592.64306584185,1.85455921224261,0.0649628145182767,0.46271402589903,-4.59420569788661
"hsa-miR-130a-3p",-97.5383532594217,395.051105246626,-1.85422509622336,0.0650107860616078,0.46271402589903,-4.59420615739468
"hsa-miR-378d",-24.3531606507552,157.826059095396,-1.82160023495958,0.0698386417982122,0.46271402589903,-4.59425065096964
"hsa-miR-3184-5p",-11.4927643053955,59.1168149277269,-1.7884960705507,0.0750364716440664,0.46271402589903,-4.59429503725509
"hsa-miR-524-5p",-6.10099532932337,43.4679842221057,-1.78793967485145,0.0751264801044476,0.46271402589903,-4.59429577671024
"hsa-miR-3151",-5.81947033336635,15.9849931005727,-1.78376485065455,0.0758046785590722,0.46271402589903,-4.59430131815983
"hsa-miR-1302",-16.7656522425209,59.8027942572731,-1.77671005805933,0.076962150971137,0.46271402589903,-4.59431065452305
"hsa-let-7d-5p",-451.222248090271,2413.88238132335,-1.76670803011037,0.0786279875879041,0.46271402589903,-4.59432383134989
"hsa-miR-484",320.372713420008,1746.60915712026,1.75849458531775,0.0800179192908028,0.46271402589903,-4.59433459927205
"hsa-miR-770-5p",-6.18778229650768,7.95742305597797,-1.75802047758816,0.0800987605698414,0.46271402589903,-4.59433521938396
"hsa-miR-203",-5.53778765681258,17.6048369629912,-1.75053156052561,0.0813845990961484,0.46271402589903,-4.59434499356745
"hsa-miR-648",-5.11214835241211,10.2935291749075,-1.73361393159647,0.0843514589352321,0.46271402589903,-4.59436692823039
"hsa-let-7f-5p",-84.4228262317357,343.764462066652,-1.72519149541731,0.0858610325189821,0.46271402589903,-4.59437777314485
"hsa-miR-320a",19.6481021133026,88.1854761635903,1.70792589069016,0.0890242894746815,0.46271402589903,-4.59439984813261
"hsa-miR-874",-13.7519183436402,153.198938772181,-1.689330965447,0.0925361243543425,0.46271402589903,-4.59442338698236
"hsa-miR-127-5p",-6.47071013018352,19.6875683702952,-1.67635125738239,0.0950532011033134,0.46271402589903,-4.59443967256502
"hsa-miR-202-3p",-4.82065520016448,14.2489637205595,-1.67467386803351,0.0953824784275445,0.46271402589903,-4.59444176846449
"hsa-miR-323a-3p",8.96477134138257,65.3200377902555,1.6714024649868,0.0960273114430839,0.46271402589903,-4.59444585034456
"hsa-miR-627",-8.72266791695998,23.3599756240749,-1.67019756929931,0.0962656941419066,0.46271402589903,-4.59444735183539
"hsa-miR-27b-3p",-5.08958739894576,12.7356521842423,-1.65627991711356,0.0990539264765095,0.46271402589903,-4.59446462074478
"hsa-miR-24-3p",-16.7395341382669,52.8875947707753,-1.65413194025916,0.0994899707135751,0.46271402589903,-4.59446727368458
"hsa-miR-190b",-5.1189937938665,21.9649761280352,-1.62118937615651,0.10637241438507,0.46271402589903,-4.59450754961473
"hsa-miR-3190-5p",-14.9330538324365,16.9731698739559,-1.61266147408824,0.10821464973632,0.46271402589903,-4.59451785000914
"hsa-miR-199a-3p+hsa-miR-199b-3p",-24.641051481045,61.3457936711233,-1.61037817295569,0.108712188682651,0.46271402589903,-4.59452059908612
"hsa-miR-192-5p",-29.9840455127816,384.217253285463,-1.61013745577079,0.108764747740827,0.46271402589903,-4.59452088869109
"hsa-miR-933",-47.3118248756569,71.3906009785242,-1.60790184259239,0.109253846769924,0.46271402589903,-4.59452357636562
"hsa-miR-126-3p",-262.731077990558,1196.85737321366,-1.59568155572371,0.111958367243082,0.46271402589903,-4.59453820467683
"hsa-miR-190a",-5.67906662298359,11.9567030424273,-1.59358575064935,0.112427494014392,0.46271402589903,-4.59454070275303
"hsa-miR-1263",-4.8858163330247,11.2047488327225,-1.58220348450769,0.115002613862967,0.46271402589903,-4.59455421494215
"hsa-miR-331-3p",66.8288644511265,517.165546344758,1.57894678230374,0.115747939697038,0.46271402589903,-4.59455806402088
"hsa-miR-582-5p",-31.861907694777,84.8568282729119,-1.55354216489701,0.121693962985366,0.46271402589903,-4.59458782907837
"hsa-miR-1289",-6.53810378130504,14.7460434903216,-1.53395668947889,0.126440073389131,0.46271402589903,-4.59461046049904
"hsa-miR-186-5p",144.031605046332,1390.19716102555,1.50440497508642,0.133874403656383,0.46271402589903,-4.59464408678809
"hsa-miR-511",-4.88468009267248,13.0316873558502,-1.50403711783699,0.133969045663777,0.46271402589903,-4.59464450140856
"hsa-miR-19b-3p",-123.080527935796,1359.21603039648,-1.49371149489936,0.136646923695574,0.46271402589903,-4.59465609992018
