"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-5p",13830.3691237647,-0.0362966902043174,0.125615398456783,-0.288950961826586,0.772618904315934,0.951833708441585
"hsa-let-7b-5p",11245.0708948251,0.102052606646895,0.146515174591128,0.696532676097803,0.486095301095168,0.911730214791225
"hsa-let-7c",411.277368778642,0.0704622192396398,0.159735786771797,0.44111730166205,0.659128078558236,0.928503896743213
"hsa-let-7d-5p",2646.80198112387,-0.0918827428832537,0.120926816471722,-0.759821068346242,0.447361547614947,0.911730214791225
"hsa-let-7e-5p",34.1977001928262,-0.141862284492618,0.135834626348845,-1.0443749749662,0.296311937067106,0.897914960809412
"hsa-let-7f-5p",366.725102568314,-0.100490003608121,0.144993934907414,-0.693063497257926,0.488269704037815,0.911730214791225
"hsa-let-7g-5p",4583.57131363126,-0.0474228334473268,0.134221059715966,-0.353318872222297,0.723849398763124,0.943840943805629
"hsa-let-7i-5p",3897.6524731697,-0.0284140197386684,0.142104354071997,-0.199951788417915,0.841518286877443,0.980639460980737
"hsa-miR-1",3.07853221918431,-0.0419025156512652,0.163105768654302,-0.256903946420659,0.797252924004605,0.960062562719428
"hsa-miR-100-5p",276.51416452416,0.357844417595258,0.263320229400028,1.35897047640663,0.17415594433192,0.82440683707418
"hsa-miR-101-3p",35.970444381521,-0.0382415169839095,0.0985460617723405,-0.388057283022171,0.697973642868467,0.935142586862017
"hsa-miR-103a-3p",4.0998896287111,-0.196354231865212,0.155311751184399,-1.26425869496561,0.206137189811669,0.843456908976773
"hsa-miR-105-5p",4.64460079413855,0.392811884897282,0.186313771207665,2.10833521511115,0.0350020039303026,0.564434140172484
"hsa-miR-106a-5p+hsa-miR-17-5p",908.633874650589,0.0447193402207644,0.134683928326724,0.33203174852668,0.739865285778983,0.944729475016529
"hsa-miR-106b-5p",921.419358555013,-0.0734476094873978,0.115782492189846,-0.634358512226249,0.525846878587417,0.911730214791225
"hsa-miR-107",226.308183530049,-0.0557678161398054,0.155809057620214,-0.357924096272631,0.720400117507472,0.943840943805629
"hsa-miR-10a-5p",24.4807198939557,0.122865785513682,0.116878862798707,1.05122331422137,0.293156037772446,0.897914960809412
"hsa-miR-10b-5p",3.40420895462693,0.0468822125580133,0.156851514633828,0.298895504244638,0.765019777490566,0.950335127317473
"hsa-miR-1178",20.7289180365779,0.0538882425319915,0.193991831176889,0.277786142875543,0.781176529087648,0.9584988086965
"hsa-miR-1179",1.51177544404165,-0.0370129527717904,0.155126697716803,-0.238598212406743,0.811417151393747,0.966615304994302
"hsa-miR-1180",257.679041263468,0.196241876338308,0.130280690255306,1.50630055731007,0.131990035147201,0.779067322854523
"hsa-miR-1181",10.0085440938148,0.0359639589763452,0.141414920008391,0.254315166845276,0.799252083463924,0.960062562719428
