"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-3p",0,0,0,0,1,NA
"hsa-let-7a-5p",1265.24905136211,-0.0264779563944557,0.263863838358804,-0.100347044745293,0.920068809640851,0.980698280279974
"hsa-let-7a-2-3p",0,0,0,0,1,NA
"hsa-let-7b-3p",3.99489425588873,0.166385724823088,2.60552213403105,0.0638588798190976,0.949082594566072,0.980698280279974
"hsa-let-7b-5p",577.985083921395,0.861873177788502,0.689181616654409,1.25057482231232,0.211089641226788,0.980698280279974
"hsa-let-7c-5p",1273.15905213116,-0.125786502134188,0.479222486812287,-0.262480383528953,0.792951107010703,0.980698280279974
"hsa-let-7d-3p",188.118078557187,0.242527079341776,0.829047428754091,0.292537038208116,0.769876045349217,0.980698280279974
"hsa-let-7d-5p",38.199084376098,0.388736822756314,1.02733525047512,0.378393345868869,0.705138410607463,0.980698280279974
"hsa-let-7e-3p",0,0,0,0,1,NA
"hsa-let-7e-5p",648.932348867848,0.0492327445497339,0.499615618731238,0.0985412439161915,0.921502523396781,0.980698280279974
"hsa-let-7f-1-3p",0,0,0,0,1,NA
"hsa-let-7f-5p",3002.7121308259,-0.0923776677967168,0.22759277400537,-0.405890161497557,0.684823307313151,0.980698280279974
"hsa-let-7f-2-3p",0,0,0,0,1,NA
"hsa-let-7g-3p",0.00405281703636242,0.448067589415218,3.99604512749603,0.112127760102645,0.910722106836251,0.980698280279974
"hsa-let-7g-5p",315.276902190069,0.81510063681724,0.798389226584991,1.0209314074837,0.307286937624409,0.980698280279974
"hsa-let-7i-3p",0,0,0,0,1,NA
"hsa-let-7i-5p",981.900769897939,-0.275414975782413,0.450742138918272,-0.611025577602699,0.541182647433943,0.980698280279974
"hsa-miR-100-3p",0.00196289459995964,0.434946796219457,3.99605065586303,0.108844164820909,0.913326093425336,0.980698280279974
"hsa-miR-100-5p",4259.25893634308,0.251553468665914,0.360758723575941,0.69729005073653,0.485621293217509,0.980698280279974
"hsa-miR-101-3p",420.640116873791,-0.584097042403964,0.683926025076028,-0.854035408784207,0.393085370444349,0.980698280279974
"hsa-miR-101-5p",0.136134245281419,1.27947076738975,3.99552777681127,0.320225722072408,0.748797225622695,0.980698280279974
"hsa-miR-103a-3p",352.06084559721,-0.165899481853277,0.71143238694563,-0.233190792122253,0.815613255603778,0.980698280279974
"hsa-miR-105-5p",0,0,0,0,1,NA
"hsa-miR-106a-5p",0.0350258591562162,0.293032773650601,3.9947640028858,0.0733542140258888,0.941524251303513,0.980698280279974
"hsa-miR-106b-3p",37.2662446016047,-0.600499545253823,1.55455188187813,-0.386284660070868,0.699285860032917,0.980698280279974
"hsa-miR-106b-5p",0.161438649878911,1.39083968368288,3.99542736849545,0.348107863166242,0.727759179268696,0.980698280279974
"hsa-miR-107",109.077364460682,0.413707233212715,0.635735471126713,0.650753736423582,0.515205468842046,0.980698280279974
"hsa-miR-10a-5p",57263.4008749933,0.15899598804852,0.241444393472061,0.65852010793085,0.51020398053736,0.980698280279974
"hsa-miR-10b-3p",0,0,0,0,1,NA
"hsa-miR-10b-5p",161314.797588083,-0.13036583082038,0.241994903926766,-0.538713124553368,0.59008481625604,0.980698280279974
"hsa-miR-1-3p",0,0,0,0,1,NA
"hsa-miR-1180-3p",3.13228232417189,4.62058426495615,3.53571368645398,1.30683213481299,0.191269728802256,0.980698280279974
"hsa-miR-1185-5p",0.0364302909908023,0.720093422311135,3.99591495798218,0.180207394272165,0.856989753675909,0.980698280279974
"hsa-miR-1224-5p",0,0,0,0,1,NA
"hsa-miR-1226-5p",0.0151057785604097,0.448067590344305,3.99604512749561,0.112127760335158,0.910722106651895,0.980698280279974
"hsa-miR-1228-3p",0,NA,NA,NA,NA,NA
"hsa-miR-1236-5p",0.0857079804360268,0.546425388442872,3.99600203871814,0.136743020436035,0.891233923513976,0.980698280279974
"hsa-miR-124-3p",21.3666571304862,0.0289313956739134,1.42293069995105,0.0203322591008183,0.983778322060579,0.990657890746317
"hsa-miR-1246",0.0356671018326456,-0.0667960906756789,3.99382267908852,-0.0167248513624354,0.986656121412162,0.991245219651289
"hsa-miR-1247-5p",0.18823905167887,1.29334220374425,3.99464907345895,0.323768666523777,0.746113179966848,0.980698280279974
"hsa-miR-1249-3p",0.893720072353335,2.98615277647391,3.9939578334813,0.747667577118874,0.454660692554482,0.980698280279974
"hsa-miR-1250-5p",0,0,0,0,1,NA
"hsa-miR-1251-5p",0,NA,NA,NA,NA,NA
"hsa-miR-125a-3p",0.327671254023029,0.940817036343204,3.99577894452316,0.235452723838174,0.813857368340111,0.980698280279974
"hsa-miR-125a-5p",2998.60443796127,0.456883199502456,0.397618078265091,1.14905036887647,0.250535211843866,0.980698280279974
"hsa-miR-125b-1-3p",37.6040350714782,1.20725836119787,1.41699820664094,0.851982984551353,0.394223536110676,0.980698280279974
"hsa-miR-125b-5p",561.863466610918,-0.0843573922559347,0.519206728286018,-0.162473611492693,0.870932907138597,0.980698280279974
"hsa-miR-125b-2-3p",277.984732119532,-0.315007449603678,0.786412470704089,-0.400562632636849,0.688742161828664,0.980698280279974
"hsa-miR-126-3p",4.52387563046632,-1.51372789975321,3.65562213007896,-0.414082157807847,0.678813939141532,0.980698280279974
"hsa-miR-126-5p",179.862572973093,0.729623336387354,1.70206744963032,0.428668873578321,0.668164215643675,0.980698280279974
"hsa-miR-1260a",3.34682045681734,4.71611918979956,2.21932774199134,2.1250215101479,0.033584818088791,0.980698280279974
"hsa-miR-1260b",0.835077905187269,2.90966893685745,3.48270318658352,0.835462794551777,0.403457186691396,0.980698280279974
"hsa-miR-1262",0.267418844558009,1.77217256359356,3.99507030724601,0.443589831292657,0.657339158940547,0.980698280279974
