ID_REF	NC00007271	NC00007303	NC00007323	NC00007337	NC00007413	NC00007462	NC00007472	NC00007521	NC00007536	NC00007563	NC00007600	NC00007635	NC00007713	NC00007721	NC00007273	NC00007275	NC00007301	NC00007305	NC00007307	NC00007311	NC00007313	NC00007315	NC00007317	NC00007321	NC00007335	NC00007341	NC00007343	NC00007345	NC00007347	NC00007353	NC00007357	NC00007365	NC00007367	NC00007371	NC00007373	NC00007401	NC00007403	NC00007405	NC00007407	NC00007411	NC00007417	NC00007421	NC00007445	NC00007456	NC00007463	NC00007467	NC00007477	NC00007507	NC00007511	NC00007517	NC00007525	NC00007531	NC00007532	NC00007534	NC00007541	NC00007543	NC00007545	NC00007553	NC00007554	NC00007561	NC00007570	NC00007605	NC00007613	NC00007615	NC00007643	NC00007647	NC00007663	NC00007673	NC00007675	NC00007717	NC00007737	NC00007277	NC00007327	NC00007331	NC00007333	NC00007351	NC00007355	NC00007362	NC00007363	NC00007375	NC00007377	NC00007423	NC00007425	NC00007427	NC00007431	NC00007436	NC00007441	NC00007450	NC00007451	NC00007453	NC00007460	NC00007465	NC00007473	NC00007475	NC00007501	NC00007503	NC00007505	NC00007512	NC00007526	NC00007547	NC00007551	NC00007564	NC00007575	NC00007603	NC00007607	NC00007611	NC00007617	NC00007621	NC00007623	NC00007625	NC00007627	NC00007631	NC00007633	NC00007637	NC00007641	NC00007645	NC00007651	NC00007653	NC00007655	NC00007657	NC00007661	NC00007665	NC00007667	NC00007671	NC00007677	NC00007701	NC00007705	NC00007707	NC00007715	NC00007723	NC00007725	NC00007727	NC00007731	NC00007733	NC00007735	NC00007741
hsa-let-7a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800.5	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-5p	4013.4	4740.73333333333	2279.61666666667	279.866666666667	17442.9484126984	5505.96666666666	426.333333333333	1525.75952380952	10	945.4	1	3012.93333333334	4700.28333333333	4470.27777777777	4392.77777777777	2749.18333333333	1742.71666666667	3014.16666666667	2374.73333333334	3171.95	216.533333333333	500.083333333333	349.166666666667	66.6666666666666	1206.95	308.75	2236.13333333333	252.7	6898.13333333333	2439.48333333334	3595.86666666667	1515.63333333333	1797.33333333334	699.283333333334	1216.93333333333	6091.26666666666	8377.00000000001	2031.61666666667	1275.06666666667	6469.43333333333	481.166666666667	1743.26666666667	105.333333333333	1478.95	710.816666666667	2990.53333333334	73	447.183333333333	64.9166666666667	0.916666666666667	1431.4	1886.7	1141.7	509.216666666666	1111.9	514	307.45	951.483333333334	881.733333333334	2555.00000000001	52866.6166666667	1397.98333333333	480.15	378.449999999999	946.383333333334	585.583333333334	88176.4277777778	379.416666666666	1518.76666666667	1276.7	318.583333333333	2614.95	3839.40000000001	4470.54999999999	537.333333333334	211.583333333333	1234.23333333333	243.866666666667	419.9	1452.01666666667	480.866666666666	833.916666666667	1144.7	4914.73333333333	117.366666666667	823.116666666667	187.2	1054.98333333333	1562.9	55043.5833333334	823.483333333334	432.333333333333	2667.35	1490.31666666666	518.433333333334	517.333333333333	1290.53333333333	459.066666666667	510.25	1341.23333333334	33271.7555555556	1135.9	45294.6428571429	500	191.633333333333	350.083333333333	87.25	542.333333333333	174.75	1467.15	612.783333333334	151.733333333333	313.8	535.716666666667	270591.183333332	102204.281746031	562.083333333334	607.15	175.25	568.000000000001	40243.5333333334	350.916666666667	400.783333333333	18244.7277777777	38323.6261904762	90125.0944444443	14639.2222222223	443.916666666667	2097.23333333334	235.45	1408.48333333333	431.266666666666	9462.36666666668	1237.53333333333	3871.2	422.033333333333
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7b-3p	0	109	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	146	0	0	86	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	951	0	0	0	70	0	1115	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1581	145	0	0	0	0	433	0	0	0	174	739	0	0	0	0	0	0	0	0	0	0
hsa-let-7b-5p	998	2729.25	1299.25	0	2214.73333333333	1387	0.5	5.5	77	294	1	768	349.5	1897.25	1477.5	120.5	344.25	2348.25	631	34	0	0	88	116	1232.75	0	1091.5	0	447.75	472.25	955.45	443	538.25	117	49	901	1047	585.75	283.25	1304.5	0	349.25	107	286.25	0	620.75	0	0	56	0	3	328.25	769	340.5	773.25	369	270	0	494	145.25	24767.75	2	133	87	546.25	1	41280.3333333333	243	221	591	0	296	578.75	1041.75	0	0.25	97	0.25	71	432	139	139	128	876.5	0	848	0	0	139.25	29411.75	198	108	1126.25	182	183.25	226	0.25	0	254.25	125	16285.9166666667	178.5	18965.25	223	760	0.25	0	0.25	370.25	486.25	0	0	52	91	119766.083333333	50790.25	528	0	74	190	21089.25	0	158	8783.83333333333	16806.25	44429.5	6861.66666666667	50	344	228	339	0	5903.25	120	1732.5	71
hsa-let-7c-5p	3220.46666666667	6586.75	1614.48333333333	197.7	12909.3261904762	2426.2	525.5	1194.69285714286	73	888.4	3	1051.33333333333	6345.51666666667	2319.15	4576.58333333333	1225.7	1372.38333333333	1290.18333333333	627.9	3038.86666666667	222	0	396	0	1563.7	0	2124.16666666667	349.666666666667	7283.06666666667	1251.23333333333	1178	841.45	5009.96666666667	1294.25	1785.83333333333	5366.7	2305.98333333333	1109.33333333333	528.45	4283.4	683	828.283333333333	107	981.916666666667	452.333333333333	1565.2	192.833333333333	0.45	168	0	821.45	1064.11666666667	240.833333333333	2096.28333333333	519.333333333333	428.166666666667	60.75	443.733333333333	857	1367.08333333333	21551.5666666667	2071.56666666667	390.65	89.25	1561.1	428	39042.4333333333	606.75	2137.98333333333	724.95	292.25	1085.03333333333	3905.51666666667	4513	781.5	0.25	76.8166666666667	207	538.083333333333	1151.45	343.166666666667	374.833333333333	347.75	1306.53333333333	119	1538.78333333333	0.95	279.783333333333	656.45	24371.95	535.233333333333	109	1333.11666666667	1539.28333333333	752.616666666667	342.5	3.28333333333333	495.333333333333	584	548.583333333333	12569.9166666667	798.366666666667	15544.6095238095	124	18.5833333333333	14.25	14	789.5	0.25	569.033333333333	1.7	1.4	560.3	543	109713.116666667	41476.8095238095	210	627.65	220.5	441.416666666667	19118.0666666667	0.833333333333333	366	6478.61666666667	16081.2928571429	38188.7	5754.81666666667	265	2140.2	261.866666666667	4.5	0	4744.95	1210.11666666667	1536.25	79.25
hsa-let-7d-3p	475	751	927.5	0	3410.5	160	96	202	32	0	1	1039	2444	379	486	197	0	0	24	1	0	146	566	0	0	0	758	0	0	723	1135	0	396	228	0	2081	0	312	872	738	0	99	0	730	0	1244	0	0	0	0	279	0	466	3	0	195	0	0	293	179	1441	0	0	117	493	61	611	1	383	153	140	184	828	1271	0	253	1	0	2	602	295	562	1	318	0	0	0	0	688	1925	546	346	0	144	1	317	0	0	565	453	925	240	0	318	0	0	153	0	0	96	0	0	73	0	4005	852	169	0	140	0	741	0	0	868	4	51	272	0	1478	174	347	0	661	235	224	0
hsa-let-7d-5p	129.5	0.25	4.5	0.7	1159.25	7.25	0	443.25	0	0	0	3.25	2.75	2.25	7.85	0	0.5	0.5	456.75	0.5	0	1.25	0.25	0	1.25	0	2.75	0	21.75	69	251.2	228.25	1	0	0	8.4	26.5	0	0	591.5	0	1.25	0	5.25	0	1.5	0	0.25	0.25	0	1.75	3	2.75	1.5	0.25	0.5	0	1.25	0.25	222.5	3184.5	1.2	0	1.5	1	0	7392.25	1	4.5	0	0	0.75	0	9.5	0.75	0.75	2	0.75	2	0.5	0.25	0.25	3.75	898	0	3.25	0.25	0.75	0.75	4766.5	0.25	0	0.75	0.25	81	0.75	223.5	0	0.5	0.5	1868	165	2524.75	0	0	0	0	281	0	0	0	0	1	0	20329.75	6449	0	0	0	0.25	3105.5	1	1.25	1136.5	1649.25	6789.95	927.5	0	0.25	0	628.5	0	405.5	1	1	0
hsa-let-7e-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	829	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7e-5p	3374.33333333333	3970.83333333333	3335.75	0	11731.75	2341.5	145	1401	26	513.5	0	1138.08333333333	4370.28333333333	2337.25	2840.58333333333	1457.75	1084.91666666667	801.583333333333	555.583333333333	8.08333333333333	186.75	0	316.25	2	724.75	441.583333333333	2442	0.333333333333333	2785.53333333333	1318.66666666667	1359.33333333333	663.366666666667	1222.66666666667	1800.83333333333	198.65	5326.66666666667	2767.11666666667	567.25	858.416666666667	4477.16666666667	2.66666666666667	1235.41666666667	73	676.833333333333	388.916666666667	1708.16666666667	0	0	0	0.25	558.916666666667	1307.66666666667	2.91666666666667	11.3666666666667	372.5	305	206.583333333333	162.5	537.333333333333	751.916666666667	9695.16666666667	471.75	0	3.58333333333333	718.083333333333	106.25	12374.7833333333	288.083333333333	993.116666666667	789.333333333333	216.25	1759.5	3004.08333333333	2696.25	323	390	7.16666666666667	2.7	255.083333333333	881.416666666667	499.25	193.5	139.416666666667	1096.08333333333	0	246.583333333333	0	1.75	260.833333333333	8200.56666666667	244.833333333333	363.25	3489.2	1465.75	598	457.333333333333	819	796.25	179	671.25	4705.08333333333	376	6937.53333333333	446	0	112	2.58333333333333	210	1	264.2	0.25	135	204	365.583333333333	46747.3166666667	18384.7666666667	304.25	3	1	1.33333333333333	5248.68333333333	251.833333333333	179	3594.15	5841.93333333333	13990.9666666667	2956.43333333333	172.25	958.083333333333	225	289.833333333333	193	1803.5	1687.33333333333	631	1.58333333333333
